,Title,Artist
0,Speechless,Dan + Shay
1,Tequila,Dan + Shay
2,Meant To Be,Bebe Rexha & Florida Georgia Line
3,She Got The Best Of Me,Luke Combs
4,Lose It,Kane Brown
5,Best Shot,Jimmie Allen
6,Drunk Me,Mitchell Tenpenny
7,Sixteen,Thomas Rhett
8,Burning Man,Dierks Bentley Featuring Brothers Osborne
9,Beautiful Crazy,Luke Combs
10,Girl Like You,Jason Aldean
11,Good Girl,Dustin Lynch
12,Last Shot,Kip Moore
13,This Is It,Scotty McCreery
14,Millionaire,Chris Stapleton
15,Take It From Me,Jordan Davis
16,What Makes You Country,Luke Bryan
17,Down To The Honkytonk,Jake Owen
18,Love Wins,Carrie Underwood
19,Burn Out,Midland
20,Here Tonight,Brett Young
21,Make It Sweet,Old Dominion
22,On My Way To You,Cody Johnson
23,Night Shift,Jon Pardi
24,There Was This Girl,Riley Green
25,Miss Me More,Kelsea Ballerini
26,Rumor,Lee Brice
27,Whiskey Glasses,Morgan Wallen
28,One That Got Away,Michael Ray
29,Talk You Out Of It,Florida Georgia Line
30,Neon Church,Tim McGraw
31,Turnin' Me On,Blake Shelton
32,Never Comin Down,Keith Urban
33,Eyes On You,Chase Rice
34,I Don't Know About You,Chris Lane
35,The Difference,Tyler Rich
36,Caught Up In The Country,Rodney Atkins Featuring The Fisk Jubilee Singers
37,Love Someone,Brett Eldredge
38,Love Ain't,Eli Young Band
39,People Are Different,Florida Georgia Line
40,Prayed For You,Matt Stell
41,Good As You,Kane Brown
42,Stronger Than Me,Garth Brooks
43,Homesick,Kane Brown
44,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell
45,You're In It,Granger Smith
46,Rules Of Breaking Up,Brandon Ratcliff
47,Back To Life,Rascal Flatts
48,Glow,Brett Eldredge
49,Better Boat,Kenny Chesney Featuring Mindy Smith
50,Tequila,Dan + Shay
51,Speechless,Dan + Shay
52,Meant To Be,Bebe Rexha & Florida Georgia Line
53,Beautiful Crazy,Luke Combs
54,Burning Man,Dierks Bentley Featuring Brothers Osborne
55,Sixteen,Thomas Rhett
56,Girl Like You,Jason Aldean
57,This Is It,Scotty McCreery
58,She Got The Best Of Me,Luke Combs
59,Best Shot,Jimmie Allen
60,What Makes You Country,Luke Bryan
61,Millionaire,Chris Stapleton
62,Drunk Me,Mitchell Tenpenny
63,Take It From Me,Jordan Davis
64,Down To The Honkytonk,Jake Owen
65,On My Way To You,Cody Johnson
66,Make It Sweet,Old Dominion
67,Love Wins,Carrie Underwood
68,GIRL,Maren Morris
69,Burn Out,Midland
70,Here Tonight,Brett Young
71,Miss Me More,Kelsea Ballerini
72,Night Shift,Jon Pardi
73,There Was This Girl,Riley Green
74,One That Got Away,Michael Ray
75,Rumor,Lee Brice
76,Whiskey Glasses,Morgan Wallen
77,Eyes On You,Chase Rice
78,Good As You,Kane Brown
79,Talk You Out Of It,Florida Georgia Line
80,Never Comin Down,Keith Urban
81,The Difference,Tyler Rich
82,Love Ain't,Eli Young Band
83,I Don't Know About You,Chris Lane
84,Love Someone,Brett Eldredge
85,Caught Up In The Country,Rodney Atkins Featuring The Fisk Jubilee Singers
86,Neon Church,Tim McGraw
87,Prayed For You,Matt Stell
88,Stronger Than Me,Garth Brooks
89,What Happens In A Small Town,Brantley Gilbert + Lindsay Ell
90,I Hate This,Tenille Arts
91,Ain't Nothin' To It,Cody Johnson
92,Nothin' On You,Cody Johnson
93,Nothing To Do Town,Dylan Scott
94,Friends Don't,Maddie & Tae
95,Really Shouldn't Drink Around You,Teddy Robb
96,What Whiskey Does,Randy Houser Featuring Hillary Lindsey
97,One Man Band,Old Dominion
98,Back To Life,Rascal Flatts
99,Closer To You,Carly Pearce
100,Beautiful Crazy,Luke Combs
101,Tequila,Dan + Shay
102,This Is It,Scotty McCreery
103,Speechless,Dan + Shay
104,Meant To Be,Bebe Rexha & Florida Georgia Line
105,Girl Like You,Jason Aldean
106,What Makes You Country,Luke Bryan
107,Take It From Me,Jordan Davis
108,She Got The Best Of Me,Luke Combs
109,Millionaire,Chris Stapleton
110,Here Tonight,Brett Young
111,Down To The Honkytonk,Jake Owen
112,Talk You Out Of It,Florida Georgia Line
