,Title,Artist
0,Sicko Mode,Travis Scott
1,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
2,Drip Too Hard,Lil Ba
3,ZEZE,Kodak Black Featuring Travis Scott & Offset
4,Mo Bamba,Sheck Wes
5,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
6,Money,Cardi B
7,Better Now,Post Malone
8,Lucid Dreams,Juice WRLD
9,Leave Me Alone,Flipp Dinero
10,Going Bad,Meek Mill Featuring Drake
11,A Lot,21 Savage
12,Trip,Ella Mai
13,Wow.,Post Malone
14,Better,Khalid
15,Uproar,Lil Wayne
16,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
17,Can't Leave Without It,21 Savage
18,Ring,Cardi B Featuring Kehlani
19,Dangerous,Meek Mill Featuring Jeremih & PnB Rock
20,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
21,Look Back At It,A Boogie Wit da Hoodie
22,All My Friends,21 Savage
23,BAD!,XXXTENTACION
24,Backin' It Up,Pardison Fontaine Featuring Cardi B
25,Break Da Law,21 Savage
26,Talk To Me,Tory Lanez & Rich The Kid
27,Monster,21 Savage
28,Calling My Spirit,Kodak Black
29,Armed And Dangerous,Juice WRLD
30,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
31,You,Jacquees
32,1.5,21 Savage
33,Out For The Night,21 Savage
34,No Stylist,French Montana Featuring Drake
35,Gun Smoke,21 Savage
36,Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
37,ASMR,21 Savage
38,Fine China,Future & Juice WRLD
39,Envy Me,Calboy
40,Ball W/O You,21 Savage
41,Close Friends,Lil Ba
42,Pure Cocaine,Lil Ba
43,Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
44,A&T,21 Savage
45,KIKA,6ix9ine Featuring Tory Lanez
46,Yosemite,Travis Scott
47,Come Closer,A Boogie Wit da Hoodie Featuring Queen Naija
48,Nuketown,Ski Mask The Slump God Featuring Juice WRLD
49,Slime Belief,YoungBoy Never Broke Again
50,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
51,Sicko Mode,Travis Scott
52,Wow.,Post Malone
53,Drip Too Hard,Lil Ba
54,ZEZE,Kodak Black Featuring Travis Scott & Offset
55,Money,Cardi B
56,Going Bad,Meek Mill Featuring Drake
57,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
58,Mo Bamba,Sheck Wes
59,Better Now,Post Malone
60,Leave Me Alone,Flipp Dinero
61,Better,Khalid
62,Middle Child,J. Cole
63,Twerk,City Girls Featuring Cardi B
64,Trip,Ella Mai
65,Lost In The Fire,Gesaffelstein & The Weeknd
66,A Lot,21 Savage
67,Keanu Reeves,Logic
68,Backin' It Up,Pardison Fontaine Featuring Cardi B
69,Crushed Up,Future
70,Look Back At It,A Boogie Wit da Hoodie
71,Envy Me,Calboy
72,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
73,First Off,Future Featuring Travis Scott
74,Undecided,Chris Brown
75,Jumpin On A Jet,Future
76,Uproar,Lil Wayne
77,Calling My Spirit,Kodak Black
78,Armed And Dangerous,Juice WRLD
79,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
80,Never Stop,Future
81,Thotiana,Blueface
82,You,Jacquees
83,No Stylist,French Montana Featuring Drake
84,Mixed Personalities,YNW Melly Featuring Kanye West
85,Yosemite,Travis Scott
86,Saturday Nights,Khalid & Kane Brown
87,Temptation,Future
88,Rocket Ship,Future
89,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
90,Pure Water,Mustard & Migos
91,F&N,Future
92,Nights Like This,Kehlani Featuring Ty Dolla $ign
93,Pure Cocaine,Lil Ba
94,Talk To Me,Tory Lanez & Rich The Kid
95,Murder On My Mind,YNW Melly
96,Call The Coroner,Future
97,Splashin,Rich The Kid
98,Promise U That,Future
99,Shot Clock,Ella Mai
100,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
101,Please Me,Cardi B & Bruno Mars
102,Sicko Mode,Travis Scott
103,Wow.,Post Malone
104,Middle Child,J. Cole
105,Thotiana,Blueface
106,Murder On My Mind,YNW Melly
107,Going Bad,Meek Mill Featuring Drake
108,Money,Cardi B
109,A Lot,21 Savage
110,Drip Too Hard,Lil Ba
111,Better,Khalid
112,ZEZE,Kodak Black Featuring Travis Scott & Offset
113,Robbery,Juice WRLD
114,Leave Me Alone,Flipp Dinero
115,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
116,Look Back At It,A Boogie Wit da Hoodie
117,Mo Bamba,Sheck Wes
118,Envy Me,Calboy
119,Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
120,Backin' It Up,Pardison Fontaine Featuring Cardi B
121,Red Room,Offset
122,Talk,Khalid
123,Twerk,City Girls Featuring Cardi B
124,Pure Water,Mustard & Migos
125,Mixed Personalities,YNW Melly Featuring Kanye West
126,Lost In The Fire,Gesaffelstein & The Weeknd
127,Undecided,Chris Brown
128,Calling My Spirit,Kodak Black
129,Armed And Dangerous,Juice WRLD
130,Nights Like This,Kehlani Featuring Ty Dolla $ign
131,Close Friends,Lil Ba
132,Put A Date On It,Yo Gotti Featuring Lil Ba
133,Pure Cocaine,Lil Ba
134,Worth It,YK Osiris
135,Yosemite,Travis Scott
136,Shot Clock,Ella Mai
137,Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
138,Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
139,Splashin,Rich The Kid
140,Saturday Nights,Khalid & Kane Brown
141,You,Jacquees
142,Valuable Pain,YoungBoy Never Broke Again
143,Sauce!,XXXTENTACION
144,Talk To Me,Tory Lanez & Rich The Kid
145,Project Dreams,Marshmello & Roddy Ricch
146,Faucet Failure,Ski Mask The Slump God
147,Every Season,Roddy Ricch
148,Karma,Queen Naija
149,Act Up,City Girls
150,Wow.,Post Malone
151,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
152,Please Me,Cardi B & Bruno Mars
153,Middle Child,J. Cole
154,Thotiana,Blueface
155,Going Bad,Meek Mill Featuring Drake
156,Old Town Road,Lil Nas X Featuring Billy Ray Cyrus
157,Better,Khalid
158,Sicko Mode,Travis Scott
159,Murder On My Mind,YNW Melly
160,A Lot,21 Savage
161,Money,Cardi B
162,Pure Water,Mustard & Migos
163,Look Back At It,A Boogie Wit da Hoodie
164,Envy Me,Calboy
165,Robbery,Juice WRLD
166,ZEZE,Kodak Black Featuring Travis Scott & Offset
