,0
High HopesPanic! At The Disco,"[Intro]
High, high hopes

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes

[Verse 1]
Mama said, fulfill the prophecy
Be something greater, go make a legacy
Manifest destiny, back in the days
We wanted everything, wanted everything
Mama said, burn your biographies
Rewrite your history, light up your wildest dreams
Museum victories, every day
We wanted everything, wanted everything

[Pre-Chorus]
Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)

[Verse 2]
Mama said, it's uphill for oddities
The stranger crusaders, ain't ever wannabes
The weird and the novelties don't ever change
We wanted everything, wanted everything (High, high hopes)

[Bridge]
Stay up on that rise
Stay up on that rise and never come down, oh
Stay up on that rise
Stay up on that rise and never come down

[Pre-Chorus]
Mama said don't give up, it's a little complicated
All tied up, no more love and I'd hate to see you waiting
They say it's all been done but they haven't seen the best of me-eh-eh-eh
So I got one more run and it's gonna be a sight to see-eh-eh-eh

[Bridge]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes (High, high hopes)
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)

[Chorus]
Had to have high, high hopes for a living
Shooting for the stars when I couldn't make a killing
Didn't have a dime but I always had a vision
Always had high, high hopes
Had to have high, high hopes for a living
Didn't know how but I always had a feeling
I was gonna be that one in a million
Always had high, high hopes (High, high hopes)"
Without MeHalsey,"[Verse 1]
Found you when your heart was broke
I filled your cup until it overflowed
Took it so far to keep you close (Keep you close)
I was afraid to leave you on your own (Ooh)

[Pre-Chorus]
I said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why (I don't know why, yeah, yeah)

[Verse 2]
Gave love 'bout a hundred tries (Hundred tries)
Just runnin' from the demons in your mind
Then I took yours and made 'em mine (Mine)
I didn't notice 'cause my love was blind

[Pre-Chorus]
Said I'd catch you if you fall (Fall)
And if they laugh, then fuck 'em all (All)
And then I got you off your knees
Put you right back on your feet
Just so you could take advantage of me

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)
Thinkin' you could live without me
Live without me
Baby, I'm the one who put you up there
I don't know why, yeah

[Bridge]
You don't have to say just what you did (What you did)
I already know (I know)
I had to go and find out from them (Oh-woah)
So tell me, how's it feel? (Oh-woah)

[Chorus]
Tell me, how's it feel sittin' up there?
Feelin' so high, but too far away to hold me
You know I'm the one who put you up there
Name in the sky, does it ever get lonely?
Thinkin' you could live without me
Thinkin' you could live without me
Baby, I'm the one who put you up there
I don't know why (Yeah, I don't know why)"
BreathinAriana Grande,"[Intro]
Lacigam gnihtemos od ot
Thgin laiceps ruoy s'thginot tub

[Verse 1]
Some days, things just take
Way too much of my energy
I look up and the whole room's spinning
You take my cares away
I can so over-complicate, people tell me to medicate

[Pre-Chorus]
Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time

[Chorus]
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, keep on breathin'

[Verse 2]
Sometimes it's hard to find
Find my way up into the clouds
Tune it out, they can be so loud
You remind me of a time
When things weren't so complicated
All I need is to see your face

[Pre-Chorus]
Feel my blood runnin', swear the sky's fallin'
I know that all this shit's fabricated
Time goes by and I can't control my mind
Don't know what else to try, but you tell me every time

[Chorus]
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah

[Bridge]
My, my air, my, my air
My, my air, my air
My, my air, my, my air
My, my air, yeah

[Chorus]
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin'
Just keep breathin' and breathin' and breathin' and breathin'
And oh, I gotta keep, I keep on breathin', mmm, yeah

[Outro]
Feel my blood runnin', swear the sky's fallin'
I keep on breathin', oh yeah
Time goes by and I can't control my mind
I keep on breathin', mmm, yeah"
"Thank U, NextAriana Grande","[Verse 1]
Thought I'd end up with Sean
But he wasn't a match
Wrote some songs about Ricky
Now I listen and laugh
Even almost got married
And for Pete, I'm so thankful
Wish I could say, ""Thank you"" to Malcolm
'Cause he was an angel

[Pre-Chorus]
One taught me love
One taught me patience
And one taught me pain
Now, I'm so amazing
Say I've loved and I've lost
But that's not what I see
So, look what I got
Look what you taught me
And for that, I say

[Chorus]
Thank you, next (Next)
Thank you, next (Next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Next)
Thank you, next (Next)
Thank you, next (Next)
I'm so fuckin'—

[Verse 2]
Spend more time with my friends
I ain't worried 'bout nothin'
Plus, I met someone else
We havin' better discussions
I know they say I move on too fast
But this one gon' last
'Cause her name is Ari
And I'm so good with that (So good with that)

[Pre-Chorus]
She taught me love (Love)
She taught me patience (Patience)
How she handles pain (Pain)
That shit's amazing (Yeah, she's amazing)
I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching, and for that, I say

[Chorus]
Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next (Thank you)
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

[Post-Chorus]
Thank you, next
Thank you, next
Thank you, next
I'm so fuckin'—

[Bridge]
One day I'll walk down the aisle
Holding hands with my mama
I'll be thanking my dad
'Cause she grew from the drama
Only wanna do it once, real bad
Gon' make that shit last
God forbid something happens
Least this song is a smash (Song is a smash)

[Pre-Chorus]
I've got so much love (Love)
Got so much patience (Patience)
And I've learned from the pain (Pain)
I turned out amazing (Turned out amazing)
Say I've loved and I've lost (Yeah, yeah)
But that's not what I see (Yeah, yeah)
'Cause look what I've found (Yeah, yeah)
Ain't no need for searching
And for that, I say

[Chorus]
Thank you, next (Thank you, next)
Thank you, next (Thank you, next)
Thank you, next
I'm so fuckin' grateful for my ex
Thank you, next (Thank you, next)
Thank you, next (Said thank you, next)
Thank you, next (Next)
I'm so fuckin' grateful for my ex

[Post-Chorus]
Thank you, next
Thank you, next
Thank you, next
Yeah, yee
Thank you, next
Thank you, next
Thank you, next
Yeah, yee"
HappierMarshmello,"[Intro]
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Verse 1]
When the morning comes
When we see what we've become
In the cold light of day, we're a flame in the wind
Not the fire that we've begun
Every argument, every word we can't take back
'Cause with all that has happened
I think that we both know the way that this story ends

[Chorus]
Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave

[Post-Chorus]
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Verse 2]
When the evening falls
And I'm left there with my thoughts
And the image of you being with someone else
Well, it's eating me up inside
But we ran our course, we pretended we're okay
Now if we jump together, at least we can swim
Far away from the wreck we made

[Chorus]
Then only for a minute
I want to change my mind
'Cause this just don't feel right to me
I wanna raise your spirits
I want to see you smile but
Know that means I'll have to leave

[Post-Chorus]
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Bridge]
So I'll go, I'll go
I will go, go, go
So I'll go, I'll go
I will go, go, go

[Pre-Chorus]
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier
Even though I might not like this
I think that you'll be happier, I want you to be happier

[Chorus]
Then only for a minute (Only for a minute)
I want to change my mind
'Cause this just don't feel right to me (Right to me)
I wanna raise your spirits (Wanna raise your spirits)
I want to see you smile but
Know that means I'll have to leave

[Post-Chorus]
Know that means I'll have to leave
Lately, I've been, I've been thinking
I want you to be happier, I want you to be happier

[Outro]
So I'll go, I'll go
I will go, go, go"
"Eastsidebenny blanco, Halsey","[Intro: Khalid]
Uh
Yeah, yeah

[Verse 1: Khalid]
When I was young, I fell in love
We used to hold hands, man, that was enough (Yeah)
Then we grew up, started to touch
Used to kiss underneath the light on the back of the bus (Yeah)
I know your daddy didn't like me much
And he didn't believe me when I said you were the one
Oh, every day, she found a way out of the window to sneak out late

[Pre-Chorus: Khalid]
She used to meet me on the Eastside
In the city where the sun don't set
And every day, you know that we'd ride
Through the backstreets in a blue Corvette
Baby, you know I just wanna leave tonight
We can go anywhere we want
Drive down to the coast, jump in the sea
Just take my hand and come with me, yeah

[Chorus: Khalid]
We can do anything if we put our minds to it
Take your old life, then you put a line through it
My love is yours if you're willing to take it
Give me your heart 'cause I ain't gonna break it
So come away, starting today
Start a new life together in a different place
We know that love is how all these ideas came to be
So baby, run away with me

[Verse 2: Halsey]
17, and we got a dream to have a family
A house, and everything in between
And then, oh, suddenly, we turned 23
And now we got pressure for taking our life more seriously
We got our dead-end jobs and got bills to pay
Our old friends are now our enemies
And now I, I'm thinking back to when I was young
Back to the day when I was falling in love

[Pre-Chorus: Halsey]
He used to meet me on the Eastside
In the city where the sun don't set
And every day, you know where we'd ride
Through the backstreets in a blue Corvette
And baby, you know I just wanna leave tonight
We can go anywhere we want
Drive down to the coast, jump in the sea
Just take my hand and come with me, singing

[Chorus: Halsey & Khalid]
We can do anything if we put our minds to it
Take your old life, then you put a line through it
My love is yours if you're willing to take it
Give me your heart 'cause I ain't gonna break it
So come away, starting today
To start a new life together in a different place
We know that love is how all these ideas came to be
So baby, run away with me

[Bridge: Halsey & Khalid]
Run away now, run away now
Run away now
Run away now, run away now
Run away now

[Outro: Halsey & Khalid]
He used to meet me on the Eastside
She used to meet me on the Eastside
He used to meet me on the Eastside
She used to meet me on the Eastside
In the city where the sun don't set"
Youngblood5 Seconds Of Summer,"[Verse 1: Luke]
Remember the words you told me
""Love me 'til the day I die""
Surrender my everything
'Cause you made me believe you're mine
Yeah, you used to call me baby
Now you're calling me by name
Takes one to know one, yeah
You beat me at my own damn game

[Pre-Chorus: Luke]
You push and you push and I'm pulling away
Pulling away from you
I give and I give and I give and you take
Give and you take

[Chorus: Luke & All]
Youngblood
Say you want me, say you want me out of your life
And I'm just a dead man walking tonight
But you need it, yeah, you need it all of the time
Yeah, ooh, ooh, ooh
Youngblood
Say you want me, say you want me back in your life
So I’m just a dead man crawling tonight
'Cause I need it, yeah, I need it all of the time
Yeah, ooh, ooh, ooh

[Verse 2: Luke]
Lately our conversations
End like it's the last goodbye
Then one of us gets too drunk
And calls about a hundred times
So, who you been calling baby?
Nobody could take my place
When you’re looking at those strangers
Hope to God you see my face

[Chorus: Luke & All]
Youngblood
Say you want me, say you want me out of your life
And I'm just a dead man walking tonight
But you need it, yeah, you need it all of the time
Yeah, ooh, ooh, ooh
Youngblood
Say you want me, say you want me back in your life
So I’m just a dead man crawling tonight
'Cause I need it, yeah, I need it all of the time
Yeah, ooh, ooh, ooh

[Bridge: Luke]
You push and you push and I'm pulling away
Pulling away from you
I give and I give and I give and you take
Give and you take
You're running around and I'm running away
Running away from you, mmm, from you

[Chorus: All]
Youngblood
Say you want me, say you want me out of your life
And I'm just a dead man walking tonight
But you need it, yeah, you need it all of the time
Yeah, ooh, ooh, ooh
Youngblood
Say you want me, say you want me back in your life
So I’m just a dead man crawling tonight
'Cause I need it, yeah, I need it all of the time
Yeah, ooh, ooh, ooh

[Outro: All]
You push and you push and I'm pulling away
Pulling away from you
I give and I give and I give and you take
Give and you take
Youngblood
Say you want me
Say you want me out of your life
And I'm just a dead man walking tonight"
BeautifulBazzi,"[Chorus]
Hey
Beautiful, beautiful, beautiful, beautiful angel
Love your imperfections, every angle
Tomorrow comes and goes before you know
So I just had to let you know

[Post-Chorus]
The way that Gucci look on you, amazing
But nothing can compare to when you're naked
Now a Backwood and some Henny got you faded
Saying you the one for me, I need to face it

[Verse]
Started when we were younger
Swear to God that I loved her
Sorry that your mum found out
Guess that we just really had the thunder
Ain't nobody else that I'd be under
Beautiful, beautiful life right now
Beautiful, beautiful night right now
No, no, no

[Chorus]
Hey
Beautiful, beautiful, beautiful, beautiful angel
Love your imperfections, every angle
Tomorrow comes and goes before you know
So I just had to let you know

[Post-Chorus]
The way that dress fall off you is amazing
Love a miracle, a beautiful creation
Baby, come a little closer, let me taste it
You came a little closer, now you're shaking

[Bridge]
Never ever gon' mislead you
Don't believe the lies they feed you
Stop and stare like a sculpture
Painted in your colors
Beautiful, beautiful life right now
Beautiful, beautiful night right now
Beautiful, beautiful by my side right now, yeah

[Chorus]
Hey (No, no)
Beautiful, beautiful, beautiful, beautiful angel
Love your imperfections every angle (No, no, yeah)
Tomorrow comes and goes before you know
(We know, we know, we know)
So I just had to let you know

[Post-Chorus]
The way that Gucci look on you amazing, yeah
But nothing can compare to when you're naked (Hey!)
(Perfect when you naked, together with you)
Tomorrow comes and goes before you know
So I just had to let you know

[Outro]
I just had to let you know
Swear to God you're beautiful, yeah"
Love LiesKhalid,"[Verse 1: Khalid]
Sorry if it's hard to catch my vibe, mmm
I need a lover to trust, tell me you're on my side
Are you down for the ride?
It's not easy for someone to catch my eye
But I've been waitin' for you for my whole damn life
For my whole lifetime

[Pre-Chorus: Khalid]
Don't be afraid to tell me if you ain't with it (You ain't with it)
I see you're focused, yeah you're so independent (Independent)
It's hard for me to open up, I'll admit it (I'll admit it)
You've got some shit to say and I'm here to listen

[Chorus: Khalid & Normani]
So baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

[Verse 2: Normani]
I've been so into your mystery
Is it because of our history?
Are you into me?
When it feels so good, but it's bad for you
Can't say I don't want it 'cause I know I do
Come on over, I need your company
Cravin' that synergy

[Pre-Chorus: Normani]
Don't be afraid to tell me if you ain't with it (You ain't with it)
I see you're focused, yeah, you're so independent (Independent)
It's hard for me to open up, I'll admit it (I'll admit it)
You've got some shit to say and I'm here to listen

[Chorus: Khalid & Normani]
So baby, tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies
Tell me where your love lies
Waste the day and spend the night
Underneath the sunrise
Show me where your love lies

[Bridge: Khalid & Normani / Khalid & Normani]
If you're down, don't hide it
Feelin' me, you don't gotta deny it
Baby you gon' make me overnight it
Tell me, are you down?
If you're down, don't hide it (Yeah)
Feelin' me, you don't gotta deny it (Yeah)
Baby you gon' make me overnight it
Tell me, are you down? (Tell me)

[Chorus: Khalid & Normani / Normani]
Tell me where your love lies (Tell me where your love lies)
Waste the day and spend the night (Waste the day, spend the night)
Underneath the sunrise (Underneath the sunrise)
Show me where your love lies (Tell me where your love lies)
Tell me where your love lies (Show me where your love lies)
Waste the day and spend the night (Yeah, yeah)
Underneath the sunrise (Ooh)
Show me where your love lies"
Better NowPost Malone,"[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

[Verse 1]
I did not believe that it would end, no
Everything came second to the Benzo
You're not even speakin' to my friends, no
You knew all my uncles and my aunts though
Twenty candles, blow 'em out and open your eyes
We were lookin' forward to the rest of our lives
Used to keep my picture posted by your bedside
Now it's in your dresser with the socks you don't like
And I'm rollin', rollin', rollin', rollin'
With my brothers like it's Jonas, Jonas
Drinkin' Henny and I'm tryna forget
But I can't get this shit outta my head

[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

[Verse 2]
I seen you with your other dude
He seemed like he was pretty cool
I was so broken over you
Life, it goes on, what can you do?
I just wonder what it's gonna take (What's it gonna take?)
Another foreign or a bigger chain (Bigger chain)
Because no matter how my life has changed
I keep on looking back on better days

[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

[Bridge]
I promise
I swear to you, I'll be okay
You're only the love of my life (Love of my life)

[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh"
