,Title,Artist
0,High Hopes,Panic! At The Disco
1,Without Me,Halsey
2,Breathin,Ariana Grande
3,"Thank U, Next",Ariana Grande
4,Happier,Marshmello & Bastille
5,Eastside,"benny blanco, Halsey & Khalid"
6,Youngblood,5 Seconds Of Summer
7,Beautiful,Bazzi Featuring Camila Cabello
8,Love Lies,Khalid & Normani
9,Better Now,Post Malone
10,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
11,Girls Like You,Maroon 5 Featuring Cardi B
12,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
13,Consequences,Camila Cabello
14,Sicko Mode,Travis Scott
15,This Feeling,The Chainsmokers Featuring Kelsea Ballerini
16,Electricity,Silk City x Dua Lipa
17,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
18,Better,Khalid
19,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
20,Ruin My Life,Zara Larsson
21,Tequila,Dan + Shay
22,Be Alright,Dean Lewis
23,MIA,Bad Bunny Featuring Drake
24,Shallow,Lady Gaga & Bradley Cooper
25,Trust My Lonely,Alessia Cara
26,Body,Loud Luxury Featuring Brando
27,8 Letters,Why Don't We
28,Sweet But Psycho,Ava Max
29,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
30,Lost In Japan,Shawn Mendes X Zedd
31,There's No Way,Lauv Featuring Julia Michaels
32,Love Someone,Lukas Graham
33,My Blood,twenty one pilots
34,Let You Love Me,Rita Ora
35,Don't Matter To Me,Drake Featuring Michael Jackson
36,I Found You,benny blanco & Calvin Harris
37,Hurts Like Hell,Madison Beer Featuring Offset
38,1999,Charli XCX & Troye Sivan
39,Trip,Ella Mai
40,Without Me,Halsey
41,"Thank U, Next",Ariana Grande
42,High Hopes,Panic! At The Disco
43,Eastside,"benny blanco, Halsey & Khalid"
44,Happier,Marshmello & Bastille
45,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
46,Breathin,Ariana Grande
47,Beautiful,Bazzi Featuring Camila Cabello
48,Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
49,Love Lies,Khalid & Normani
50,This Feeling,The Chainsmokers Featuring Kelsea Ballerini
51,Youngblood,5 Seconds Of Summer
52,Sicko Mode,Travis Scott
53,Better Now,Post Malone
54,Girls Like You,Maroon 5 Featuring Cardi B
55,Better,Khalid
56,Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
57,Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
58,Lost In The Fire,Gesaffelstein & The Weeknd
59,Ruin My Life,Zara Larsson
60,7 Rings,Ariana Grande
61,Electricity,Silk City x Dua Lipa
62,Sweet But Psycho,Ava Max
63,Tequila,Dan + Shay
64,Wow.,Post Malone
65,Consequences,Camila Cabello
66,Body,Loud Luxury Featuring Brando
67,MIA,Bad Bunny Featuring Drake
68,Be Alright,Dean Lewis
69,Dancing With A Stranger,Sam Smith & Normani
70,8 Letters,Why Don't We
71,Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
72,Love Someone,Lukas Graham
73,Let You Love Me,Rita Ora
74,My Blood,twenty one pilots
75,There's No Way,Lauv Featuring Julia Michaels
76,Hurts Like Hell,Madison Beer Featuring Offset
77,You Say,Lauren Daigle
78,I Found You,benny blanco & Calvin Harris
79,ZEZE,Kodak Black Featuring Travis Scott & Offset
80,Eastside,"benny blanco, Halsey & Khalid"
81,Without Me,Halsey
82,"Thank U, Next",Ariana Grande
83,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
84,7 Rings,Ariana Grande
85,High Hopes,Panic! At The Disco
86,Happier,Marshmello & Bastille
