Title,Artist
High Hopes,Panic! At The Disco
Natural,Imagine Dragons
Broken,lovelytheband
Bohemian Rhapsody,Queen
Another One Bites The Dust,Queen
My Blood,twenty one pilots
Somebody To Love,Queen
Under Pressure,Queen & David Bowie
We Will Rock You,Queen
Don't Stop Me Now,Queen
You're Somebody Else,flora cash
Guiding Light,Mumford & Sons
We Are The Champions,Queen
Killer Queen,Queen
Bad Liar,Imagine Dragons
Shotgun,George Ezra
Zero,Imagine Dragons
I Want To Break Free,Queen
Get Up,Shinedown
Love It If We Made It,The 1975
S.O.S. (Sawed Off Shotgun),The Glorious Sons
Fat Bottomed Girls,Queen
Radio Ga Ga,Queen
Crazy Little Thing Called Love,Queen
When Legends Rise,Godsmack
The Greatest Show,Panic! At The Disco
Pressure,Muse
Dance Macabre,Ghost
Superposition,Young The Giant
Body Talks,The Struts
Are You Ready,Disturbed
Chlorine,twenty one pilots
These Are My Friends,lovelytheband
Worst Nites,Foster The People
Mantra,Bring Me The Horizon
"""99""",Barns Courtney
All Out Life,Slipknot
Movement,Hozier
When The Seasons Change,Five Finger Death Punch
Home,morgxn Featuring WALK THE MOON
Radio Ga Ga (Live Aid),Queen
Can't Knock The Hustle,Weezer
Machine,Imagine Dragons
You're The One,Greta Van Fleet
It's Not Living (If It's Not With You),The 1975
Fast Talk,Houses
Disease,Beartooth
Roaring 20s,Panic! At The Disco
Sunday Driver,The Raconteurs
Northern Lights,Death Cab For Cutie
High Hopes,Panic! At The Disco
Natural,Imagine Dragons
Broken,lovelytheband
My Blood,twenty one pilots
You're Somebody Else,flora cash
Bad Liar,Imagine Dragons
Guiding Light,Mumford & Sons
Shotgun,George Ezra
Almost (Sweet Music),Hozier
Come Along,Cosmo Sheldrake
Superposition,Young The Giant
You're The One,Greta Van Fleet
S.O.S. (Sawed Off Shotgun),The Glorious Sons
Chlorine,twenty one pilots
Love It If We Made It,The 1975
Get Up,Shinedown
Pressure,Muse
Worst Nites,Foster The People
Movement,Hozier
When Legends Rise,Godsmack
Zero,Imagine Dragons
"""99""",Barns Courtney
Dance Macabre,Ghost
Home,morgxn Featuring WALK THE MOON
Land Of The Free,The Killers
The Greatest Show,Panic! At The Disco
Hurt,Oliver Tree
Who Do You Trust?,Papa Roach
Fast Talk,Houses
Timebomb,WALK THE MOON
Northern Lights,Death Cab For Cutie
Harmony Hall,Vampire Weekend
Can't Knock The Hustle,Weezer
Machine,Imagine Dragons
When The Seasons Change,Five Finger Death Punch
Over My Head,Judah & The Lion
medicine,Bring Me The Horizon
Cringe,Matt Maeson
All Out Life,Slipknot
Radio Ga Ga (Live Aid),Queen
Believer (Remix),Imagine Dragons Featuring Lil Wayne
Forever On Your Side,NEEDTOBREATHE Featuring JOHNNYSWIM
It's Not Living (If It's Not With You),The 1975
Longshot,Catfish And The Bottlemen
Roaring 20s,Panic! At The Disco
Elevate,Papa Roach
These Are My Friends,lovelytheband
still feel.,half alive
Do Your Worst,Rival Sons
Right Left Wrong,Three Days Grace
High Hopes,Panic! At The Disco
Natural,Imagine Dragons
Bohemian Rhapsody,Queen
Broken,lovelytheband
Another One Bites The Dust,Queen
We Will Rock You,Queen
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker
Bad Liar,Imagine Dragons
Don't Stop Me Now,Queen
Somebody To Love,Queen
We Are The Champions,Queen
Under Pressure,Queen & David Bowie
Shotgun,George Ezra
Killer Queen,Queen
Chlorine,twenty one pilots
Superposition,Young The Giant
Radio Ga Ga,Queen
Guiding Light,Mumford & Sons
Ready To Let Go,Cage The Elephant
Fat Bottomed Girls,Queen
I Want To Break Free,Queen
Crazy Little Thing Called Love,Queen
My Blood,twenty one pilots
Love It If We Made It,The 1975
Love Of My Life,Queen
S.O.S. (Sawed Off Shotgun),The Glorious Sons
Harmony Hall,Vampire Weekend
Radio Ga Ga (Live Aid),Queen
Take On Me,Weezer
100 Bad Days,AJR
You're The One,Greta Van Fleet
"Hey Look Ma, I Made It",Panic! At The Disco
Pressure,Muse
Dance Macabre,Ghost
The Joke,Brandi Carlile
We Are The Champions (Live Aid),Queen
Hammer To Fall (Live Aid),Queen
"""99""",Barns Courtney
Northern Lights,Death Cab For Cutie
New House,Rex Orange County
Hurt,Oliver Tree
Home,morgxn Featuring WALK THE MOON
Almost (Sweet Music),Hozier
Over My Head,Judah & The Lion
Movement,Hozier
When The Seasons Change,Five Finger Death Punch
Worst Nites,Foster The People
Timebomb,WALK THE MOON
Power Over Me,Dermot Kennedy
Fast Talk,Houses
High Hopes,Panic! At The Disco
Bad Liar,Imagine Dragons
Natural,Imagine Dragons
Broken,lovelytheband
"Hey Look Ma, I Made It",Panic! At The Disco
Chlorine,twenty one pilots
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker
Shotgun,George Ezra
Kickstart My Heart,Motley Crue
Patience,Tame Impala
Ready To Let Go,Cage The Elephant
Lo/Hi,The Black Keys
Home Sweet Home,Motley Crue
Superposition,Young The Giant
100 Bad Days,AJR
Harmony Hall,Vampire Weekend
Almost (Sweet Music),Hozier
The Dirt (Est. 1981),Motley Crue Featuring Machine Gun Kelly
Movement,Hozier
"Girls, Girls, Girls",Motley Crue
Hurt,Oliver Tree
Dr. Feelgood,Motley Crue
Shout At The Devil,Motley Crue
Live Wire,Motley Crue
I Guess I Just Feel Like,John Mayer
Peer Pressure,James Bay Featuring Julia Michaels
"""99""",Barns Courtney
Longshot,Catfish And The Bottlemen
Power Over Me,Dermot Kennedy
You're The One,Greta Van Fleet
Beloved,Mumford & Sons
A Reason To Fight,Disturbed
123456,Fitz And The Tantrums
Home,morgxn Featuring WALK THE MOON
Style,Foster The People
Are You Bored Yet?,Wallows Featuring Clairo
Radio Ga Ga (Live Aid),Queen
still feel.,half alive
Cringe,Matt Maeson
Bohemian Trapsody,Logic
When The Seasons Change,Five Finger Death Punch
Monsters,Shinedown
Right Left Wrong,Three Days Grace
Hammer To Fall (Live Aid),Queen
We Are The Champions (Live Aid),Queen
Breaking Down,I Prevail
The Joke,Brandi Carlile
Northern Lights,Death Cab For Cutie
Missed Connection,The Head And The Heart
The Greatest Show,Panic! At The Disco
High Hopes,Panic! At The Disco
"Hey Look Ma, I Made It",Panic! At The Disco
Bad Liar,Imagine Dragons
Natural,Imagine Dragons
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
Chlorine,twenty one pilots
Jenny Of Oldstones (Game Of Thrones),Florence + The Machine
Ready To Let Go,Cage The Elephant
Lo/Hi,The Black Keys
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker
Gloria,The Lumineers
100 Bad Days,AJR
Borderline,Tame Impala
Hurt,Oliver Tree
Superposition,Young The Giant
Longshot,Catfish And The Bottlemen
Harmony Hall,Vampire Weekend
Peer Pressure,James Bay Featuring Julia Michaels
Saw Lightning,Beck
Almost (Sweet Music),Hozier
Monsters,Shinedown
Beloved,Mumford & Sons
Patience,Tame Impala
Social Cues,Cage The Elephant
A Reason To Fight,Disturbed
Right Left Wrong,Three Days Grace
Missed Connection,The Head And The Heart
still feel.,half alive
Night Running,Cage The Elephant Featuring Beck
Breaking Down,I Prevail
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
I Guess I Just Feel Like,John Mayer
Remember When,Bad Wolves
The Dirt (Est. 1981),Motley Crue Featuring Machine Gun Kelly
Be Legendary,Pop Evil
Power Over Me,Dermot Kennedy
Are You Bored Yet?,Wallows Featuring Clairo
It's Not Living (If It's Not With You),The 1975
Heroin,Badflower
"""99""",Barns Courtney
BOOM,X Ambassadors
You're The One,Greta Van Fleet
Change,The Revivalists
Choke,I Dont Know How But They Found Me
"Maybe, I'm Afraid",lovelytheband
Elevate,Papa Roach
Hey Child,X Ambassadors
Black Madonna,Cage The Elephant
Bow Down,I Prevail
Under Your Scars,Godsmack
High Hopes,Panic! At The Disco
"Hey Look Ma, I Made It",Panic! At The Disco
Natural,Imagine Dragons
Unsainted,Slipknot
Chlorine,twenty one pilots
Bad Liar,Imagine Dragons
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
Lo/Hi,The Black Keys
Gloria,The Lumineers
Ready To Let Go,Cage The Elephant
100 Bad Days,AJR
Hurt,Oliver Tree
Missed Connection,The Head And The Heart
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker
Monsters,Shinedown
Longshot,Catfish And The Bottlemen
Alligator,Of Monsters And Men
Go,The Black Keys
Cringe,Matt Maeson
Almost (Sweet Music),Hozier
This Life,Vampire Weekend
Blame It On My Youth,Blink-182
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
Harmony Hall,Vampire Weekend
Beloved,Mumford & Sons
Joy,Bastille
still feel.,half alive
Remember When,Bad Wolves
Borderline,Tame Impala
Under Your Scars,Godsmack
Life In The City,The Lumineers
Breaking Down,I Prevail
Heroin,Badflower
Power Over Me,Dermot Kennedy
Are You Bored Yet?,Wallows Featuring Clairo
"Maybe, I'm Afraid",lovelytheband
Peer Pressure,James Bay Featuring Julia Michaels
Patience,Tame Impala
Saw Lightning,Beck
Bismarck,Sabaton
Deutschland,Rammstein
Change,The Revivalists
Elevate,Papa Roach
Rylan,The National
A Reason To Fight,Disturbed
BOOM,X Ambassadors
Donna,The Lumineers
You Had Your Soul With You,The National
Radio,Rammstein
Leviathan,Volbeat
"Hey Look Ma, I Made It",Panic! At The Disco
High Hopes,Panic! At The Disco
Chlorine,twenty one pilots
Natural,Imagine Dragons
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
F9mily (You & Me),Lil Nas X
Bring U Down,Lil Nas X Featuring Ryan Tedder
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
100 Bad Days,AJR
Bad Liar,Imagine Dragons
Gloria,The Lumineers
Monsters,Shinedown
Missed Connection,The Head And The Heart
Cringe,Matt Maeson
Unsainted,Slipknot
Alligator,Of Monsters And Men
Lo/Hi,The Black Keys
Hurt,Oliver Tree
Joy,Bastille
Imagination,Foster The People
Ready To Let Go,Cage The Elephant
Under Your Scars,Godsmack
This Life,Vampire Weekend
Blame It On My Youth,Blink-182
still feel.,half alive
Remember When,Bad Wolves
11 Minutes,YUNGBLUD & Halsey Featuring Travis Barker
Beloved,Mumford & Sons
Almost (Sweet Music),Hozier
Typical Story,Hobo Johnson
Longshot,Catfish And The Bottlemen
Breaking Down,I Prevail
Help Me Stranger,The Raconteurs
Nostalgic,A R I Z O N A
"Hey, Ma",Bon Iver
Last Day Under The Sun,Volbeat
Are You Bored Yet?,Wallows Featuring Clairo
Choke,I Dont Know How But They Found Me
Borderline,Tame Impala
Time Waits For No One,Freddie Mercury
Miracle Man,Oliver Tree
Elevate,Papa Roach
It's Not Living (If It's Not With You),The 1975
Go,The Black Keys
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
Why Did You Run?,Judah & The Lion
Prom Queen,Beach Bunny
Parents,YUNGBLUD
Bored And Razed,The Raconteurs
Patience,Tame Impala
"Hey Look Ma, I Made It",Panic! At The Disco
High Hopes,Panic! At The Disco
Natural,Imagine Dragons
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
Chlorine,twenty one pilots
Bad Liar,Imagine Dragons
Blue On Black,"Five Finger Death Punch Featuring Kenny Wayne Shepherd, Brantley Gilbert & Brian May"
100 Bad Days,AJR
Gloria,The Lumineers
Under Your Scars,Godsmack
Missed Connection,The Head And The Heart
Cringe,Matt Maeson
Solway Firth,Slipknot
Alligator,Of Monsters And Men
Unsainted,Slipknot
Monsters,Shinedown
Lo/Hi,The Black Keys
This Life,Vampire Weekend
Joy,Bastille
Go,The Black Keys
Almost (Sweet Music),Hozier
Last Day Under The Sun,Volbeat
Breaking Down,I Prevail
Social Cues,Cage The Elephant
Remember When,Bad Wolves
Why Did You Run?,Judah & The Lion
Prom Queen,Beach Bunny
Miracle Man,Oliver Tree
The Hype,twenty one pilots
You'll Never Find Me,Korn
Borderline,Tame Impala
Champion,Bishop Briggs
It's Not Living (If It's Not With You),The 1975
Help Me Stranger,The Raconteurs
No More,Disturbed
Birds,Imagine Dragons Featuring Elisa
123456,Fitz And The Tantrums
Forgive Me Friend,Smith & Thell Featuring Swedish Jam Factory
It Doesn't Matter Why,Silversun Pickups
Out For Blood,Sum 41
"Lover, Leaver",Greta Van Fleet
Blame It On My Youth,Blink-182
Parents,YUNGBLUD
When Am I Gonna Lose You,Local Natives
Choke,I Dont Know How But They Found Me
Typical Story,Hobo Johnson
F9mily (You & Me),Lil Nas X
Nostalgic,A R I Z O N A
Don't Stop Me Now (...revisited),Queen
"Hey Look Ma, I Made It",Panic! At The Disco
High Hopes,Panic! At The Disco
Cringe,Matt Maeson
I Think I'm OKAY,Machine Gun Kelly X YUNGBLUD X Travis Barker
Fear Inoculum,Tool
The Hype,twenty one pilots
Under Your Scars,Godsmack
Alligator,Of Monsters And Men
Unsainted,Slipknot
Gloria,The Lumineers
BLOW,Ed Sheeran With Chris Stapleton & Bruno Mars
Social Cues,Cage The Elephant
Go,The Black Keys
Missed Connection,The Head And The Heart
People,The 1975
Last Day Under The Sun,Volbeat
This Life,Vampire Weekend
Outnumbered,Dermot Kennedy
16,Highly Suspect
