,Title-Artist,Lyrics
0,Sicko ModeTravis Scott,"[Part I]

[Intro: Drake]
Astro, yeah
Sun is down, freezin' cold
That's how we already know, winter's here
My dawg would probably do it for a Louis belt
That's just all he know, he don't know nothin' else
I tried to show 'em, yeah
I tried to show 'em, yeah, yeah
Yeah, yeah, yeah
Goin' on you with the pick and roll
Young La Flame, he in sicko mode

[Part II]

[Verse 1: Travis Scott & The Notorious B.I.G.]
Woo, made this here with all the ice on in the booth
At the gate outside, when they pull up, they get me loose
Yeah, Jump Out boys, that's Nike boys, hoppin' out coupes
This shit way too big, when we pull up, give me the loot
(Gimme the loot!)
Was off the Remy, had a Papoose
Had to hit my old town to duck the news
Two four hour lockdown, we made no moves
Now it's 4 a.m. and I'm back up poppin' with the crew
I just landed in, Chase B mixes pop like Jamba Juice
Different colored chains, think my jeweler really sellin' fruits
And they chokin', man, know the crackers wish it was a noose

[Bridge: Big Hawk & Swae Lee]
Some-Some-Some-Someone said
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak (Someone said)
To win the retreat, we all in too deep
Pl-Pl-Playin' for keeps, don't play us for weak

[Verse 2: Travis Scott & Uncle Luke]
Yeah, this shit way too formal, y'all know I don't follow suit
Stacey Dash, most of these girls ain't got a clue
All of these hoes I made off records I produced
I might take all my exes and put 'em all in a group
Hit my eses, I need the bootch
'Bout to turn this function to Bonnaroo
Told her, ""Hop in, you comin' too""
In the 305, bitches treat me like I'm Uncle Luke
(Don't stop, pop that pussy!)
Had to slop the top off, it's just a roof, uh
She said, ""Where we goin'?"" I said, ""The moon""
We ain't even make it to the room
She thought it was the ocean, it's just the pool
Now I got her open, it's just the Goose
Who put this shit together? I'm the glue

[Bridge: Travis Scott, Swae Lee & Big Hawk]
Someone said
Shorty FaceTimed me out the blue
Someone said
Pl-Playin' for keeps
Someone said, motherfucker—someone said
Don't play us for weak

[Part III]

[Intro: Travis Scott, Drake & Lil Juice]
Yeah!
Astro, yeah, yeah
(Tay Keith, fuck these niggas up!)
Ayy, ayy

[Chorus: Drake & Travis Scott]
She's in love with who I am
Back in high school, I used to bus it to the dance (Yeah)
Now I hit the FBO with duffels in my hands
I did half a Xan, 13 hours 'til I land
Had me out like a light, ayy, yeah
Like a light, ayy, yeah

[Verse 3: Drake & Travis Scott]
Like a light, ayy, slept through the flight, ayy
Knocked for the night, ayy
767, man, this shit got double bedroom, man
I still got scores to settle, man
I crept down the block (Down the block)
Made a right (Yeah, right)
Cut the lights (Yeah, what?), paid the price (Yeah)
Niggas think it's sweet (Nah, never), it's on sight (Yeah, what?)
Nothin' nice (Yeah), baguettes in my ice (Aw, man)
Jesus Christ (Yeah), checks over stripes (Yeah)
That's what I like (Yeah), that's what we like (Yeah)
Lost my respect, you not a threat
When I shoot my shot, that shit wetty like I'm Sheck (Bitch)
See the shots that I took (Ayy), wet like I'm Book (Ayy)
Wet like I'm Lizzie
I be spinnin' Valley, circle blocks 'til I'm dizzy (Yeah, what?)
Like where is he? (Yeah, what?)
No one seen him (Yeah, yeah)
I'm tryna clean 'em (Yeah)

[Chorus: Drake & Travis Scott]
She's in love with who I am
Back in high school, I used to bus it to the dance
Now I hit the FBO with duffels in my hands (Woo)
I did half a Xan, 13 hours 'til I land
Had me out like a light (Like a light)
Like a light (Like a light)
Like a light (Like a light)
Like a light

[Verse 4: Travis Scott]
Yeah, passed the dawgs a celly
Sendin' texts, ain't sendin' kites, yeah
He said, ""Keep that on lock""
I say, ""You know this shit, it's stife,"" yeah
It's absolute, yeah (Yeah), I'm back, reboot (It's lit)
LaFerrari to Jamba Juice, yeah (Skrrt, skrrt)
We back on the road, they jumpin' off, no parachute, yeah
Shawty in the back
She said she workin' on her glutes, yeah (Oh my God)
Ain't by the book, yeah, this how it look, yeah
'Bout a check, yeah (Check), just check the foots, yeah
Pass this to my daughter, I'ma show her what it took (Yeah)
Baby mama cover Forbes, got these other bitches shook
Yeah"
2,Drip Too HardLil Baby,"[Intro]
Run that back, Turbo

[Verse 1: Lil Baby]
You can get the biggest Chanel bag in the store if you want it
I gave 'em the drip, they sucked it up, I got 'em moanin'
I bought a new Patek, I had the watch, so I two-toned 'em
Takin' these drugs, I'm gon' be up until the mornin'
That ain't your car, you just a leaser, you don't own it
If I'm in the club, I got that fire when I'm performin'
The backend just came in, in all hundreds
Vibes galore, cute shit, they all on us
I'm from Atlanta where young niggas run shit
I know they hatin' on me, but I don't read comments
Whenever I tell her to come, she comin'
Whenever it's smoke, we ain't runnin'

[Chorus: Lil Baby]
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made

[Verse 2: Gunna]
Yeah, every other night, another dollar gettin' made
Every other night started with a good day
I feel like a child, I got boogers in the face
Diamonds dancin' in the dial like this shit is a parade
I don't want your chain, Young GonWunna not a slave
I had to draw the line, too many bitches gettin' saved
TSA harass me, so I took a private plane
These pussy niggas lackin', why I'm workin' on my aim
Drip too hard (Too hard), charge it to the card (To the card)
Designer to the ground, I can barely spell the names
Drip too hard, caution on the floor
You gon' fuck around and drown tryna ride a nigga wave

[Chorus: Lil Baby]
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made
Drip too hard, don't stand too close
You gon' fuck around and drown off this wave
Doin' all these shows, I've been on the road
I don't care where I go, long as I get paid
Bad lil' vibe, she been on my mind
Soon as I get back, she gettin' slayed
Do this all the time, this ain't no surprise
Every other night, another movie gettin' made"
3,ZEZEKodak Black,"[Intro]
D.A. got that dope!

[Chorus: Travis Scott]
Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, Skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
See the bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?

[Refrain: Kodak Black]
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

[Verse 1: Offset]
Offset!
Blow the brains out the coupe (Boom)
Police wanna talk, but I'm on mute (Woo-woo, hey)
I'ma bust her wrist down 'cause she cute (Ice, ice)
Fuck her on a yacht, dive in a pool (Yeah)
She an addict (Addict), addict for the lifestyle and the Patek (Patek)
Big daddy, have you ever felt Chanel fabrics? (Chanel)
I be drippin' to death, I need a casket (Drippin')
And we got more stripes than the ref, he foul, TEC him (Bow, stripes)
In the middle of the field like David Beckham (Field, bow-bow)
All my niggas locked up, for real, I'm tryna help 'em (Free, free)
When I got a mil', got me the chills, don't know what happened (Hoo, chills)
Pop pills, do what you feel, I'm on that zombie (Hey, hoo)
I'm more like Gaddafi, I'm not no Gandhi (Gaddafi, hey)
I'm more like I'm David, Goliath runnin' (Hey, hey)
Niggas be clonin', I find it funny (Clone, haha)
We from the Nawf, straight out of the dungeon (We from the Nawf, hey)
I go in her mouth, she can't tell me nothin' (Eghck, eghck, egchk)
300, the watch is out of your budget (Woo, woo, 300)
Mean-muggin' got me clutchin'
Yeah, and this stick right out of Russia

[Chorus: Travis Scott]
Ice water, turned Atlantic (Freeze)
Nightcrawlin' in the Phantom (Skrrt, skrrt)
Told them hoes that don't you panic
Took an island, (Yeah) flood the mansion (Big water)
Dropped the roof, more expansion
Drive a coupe you can stand in (It's lit)
Bitches undercover (In the sheets)
I'm an ass and titty lover (Big ass)
Guess we all made for each other
Now that all the dawgs free (Yeah, yeah)
And we out in these streets (Alright)
Can you do it, can you pop it for me?

[Refrain: Kodak Black]
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

[Verse 2: Kodak Black]
In a Hellcat 'cause I'm a hell-raiser
Self-made, I don't owe a nigga nann favor
When you get that money, nigga, keep your heart
I'm slidin' in a coupe, ain't got no key to start
I got the fire on me in BET Awards
When your well run dry, you know you need me for it
When I pull up in the Buick, you know what I'm doin'
If the police get behind me, I'm fleein' and eludin'
Sleepin' on the palette turned me to a savage
I'm a project baby, now I stay in Calabasas
Like I still serve fiends, like I'm still jackin'
I be sippin' on lean, tryna keep balance
Hit that Z-Walk, Dickie's with my Reeboks
I don't say much, I just let the heat talk
Your jewelry water whip, diamonds like re-rock
My lil' baby ride the dick like a seesaw
When I stepped up on the scene, I was on a bean
When I jumped up out the Beam', I was in Celine
Baby girl, you just a fling, that ain't what I mean
Money bustin' out my jeans like I do the scheme

[Refrain: Kodak Black]
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)
Pull up in a Demon, on God (On God)
Lookin' like I still do fraud (Fraud)
Flyin' private jet with the rod (Rod)
This that Z shit, this that Z shit (This that Z shit)

[Outro]
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh
Uh-huh, ha, oh-ah-oh"
4,Mo BambaSheck Wes,"[Intro]
16yrold
Bitch!
Daytrip took it to 10

[Chorus]
I got hoes
Callin' a young nigga phone (Ring, ring)
Where's Ali with the mothafuckin' dope? (Bitch, bitch)
I be ballin' like a mothafuckin' pro (Like a, huh, like a, huh)
I be ballin' like my nigga Mo (Bamba, bitch)
Sheck Wes, I ain't a mothafuckin' joke (Haha, hahahahaha)
Steph Wes, stay with the fuckin' pole (Pa, pa, pa-pa)
You fuck around and get poled (You get poled, bitch)
'Cause I got hoes (So many fuckin' hoes)
Callin' a young nigga phone
(Ring-ring, ring, ring-ring, ring, ring-ring)
Where's Ali with the (Bitch with the) mothafuckin' dope? (Huh)
I be ballin' like a mothafuckin' pro (Like a mothafuckin' pro)
I be ballin' like my nigga Mo (Bamba, Bamba)
Sheck Wes got so many flows (I do it all)
Call me Drake, how a nigga contro—

[Verse]
Oh! Fuck! Shit! Bitch! (Huh)
Young Sheck Wes and I'm gettin' really rich (Ching-ching)
See how I caught it 'cause I'm really with the shits (Ping-ping)
See me in the streets and I be really with a (Cling, cling), with a
Bad bitch (Bitch), niggas straight rockin' (Rock)
Niggas straight see me, when they see me, they be coppin' (What?)
I'm the best drug dealer, nigga, come and cop it  (Got it)
Young Sheck Wes, I'm like the fuckin' Green Goblin (Hahahaha)

[Chorus]
I got hoes (Hoes, ho)
Callin' a young nigga phone, phone (Bitch)
Where's Ali with the mothafuckin' dope?
(With the mothafuckin' dope)
Dope (With the mothafuckin' dope)
With the mothafuckin' dope (Bitch)
With the dope (Gettin' rich), with my bros (Bitch, shit)
I fucked your ho (Shit)
And she ain't even let you know (Shit fucked up)

[Outro]
Damn, this nigga nice, fuck is you talking about?
('Cause I got) Bitch (Hoes)
And my nigga One-Six, my nigga
Ali, the Daytrip nigga, fuck is niggas talking about?
(I got hoes, shit
Young Sheck Wes, I do it on the go)
Uh, woah, uh"
5,Wake Up In The SkyGucci Mane,"[Intro: Bruno Mars & Gucci Mane]
Fly-y-y, fly-y-y, fly
It's Gucci (It's Gucci), huh?
Fly (Woo)

[Chorus: Bruno Mars & Gucci Mane]
I drink 'til I'm drunk (Yeah), smoke 'til I'm high (Yeah)
Castle on the hill (Well damn), wake up in the sky
You can't tell me I ain't fly (You can't tell me I ain't fly)
I know I'm super fly (I know), I know I'm super fly (I know)
The ladies love luxury (Huh)
That's why they all fuck with me (Woo)
Out here with the moves (Moves) like I invented smooth
You can't tell me I ain't fly (You can't tell me I ain't fly)
I know I'm super fly (I know), I know I'm super fly

[Verse 1: Gucci Mane]
Huh, huh, huh
I stay fresh as hell, take a pic, I might as well, hell
Drop the top and take a selfie, my car drives itself
I got white girls blushin', homie, college girls rushin' on me (Woo)
All my diamonds custom so they clutchin' and they touchin' on me
Ooh, think it's vegetables
Ooh, think it's edible
Ooh, it's incredible
Ooh, ooh, ooh
I smell like Bond No. 9 now
Section full of fine dimes
Bitches starin' at me sayin', ""Wow""
Unforgettable (Woo), like Nat King Cole (Huh)
Gucci Barry White, I'm singing to your ho (Well damn)
A one man show (Whoa), a human bankroll (Whoa)
She lost in the sauce 'cause Gucci got the glow (Huh)

[Chorus: Bruno Mars & Gucci Mane]
I drink 'til I'm drunk (Burr), smoke 'til I'm high (It's Gucci)
Castle on the hill (Huh), wake up in the sky (Yeah)
You can't tell me I ain't fly (You can't tell me I ain't fly)
I know I'm super fly (I know), I know I'm super fly (I know)
The ladies love luxury, that's why they all fuck with me
Out here with the moves like I invented smooth
You can't tell me I ain't fly (You can't tell me I ain't fly)
I know I'm super fly (I know), I know I'm super fly (I know)

[Post-Chorus: Bruno Mars & Gucci Mane]
Now watch me fly (Fly-y-y)
Now watch me fly (Fly-y-y)
You can't tell me I ain't fly (You can't tell me I ain't fly)
I know I'm super fly, I know I'm super fly

[Verse 2: Kodak Black]
Kodak, Kodak
I'm so fly, don't need no flight attendant
Big Cuban link, don't need no pendant
I ain't never had no pot to piss in, yeah
Now all my records trendin'
Oh my, I came from stealing bikes to flying on a G5
I don't know why I'm smokin' this cherry pie so much but this my life
I'm on Adderall, I be smellin' Hi-Tech when I piss
Like it's basketball, I drop fifty-pointer on my wrist
It's Lil Kodak, take a pic
I came home and dropped a hit
All these diamonds got me sick, I'm actin' spoiled (Woo)
Cutlass sittin' high (Yeah), I feel like I can fly (Yeah)
So fresh to death, it's crazy, feel like I can die
I done finally got my wings, they make me wanna sing (Glee)

[Chorus: Bruno Mars & Kodak Black]
I drink 'til I'm drunk ('Til I'm drunk), smoke 'til I'm high ('Til I'm high)
Castle on the hill (Ayy), wake up in the sky
You can't tell me I ain't fly (You can't tell me I ain't fly, baby)
I know I'm super fly (I know it), I know I'm super fly (I know it)
The ladies love luxury (Right), that's why they all fuck with me (Ayy)
Out here with the moves like I invented smooth (Yeah, yeah)
You can't tell me I ain't fly (You can't tell me I don't fly, baby)
I know I'm super fly (I know it)
I know I'm super fly (I know it)

[Outro: Bruno Mars]
Now, now watch me fly (Fly-y-y)
Now watch me fly (Fly-y-y)
You can't tell me I ain't fly
I know I'm super fly, I know I'm super fly"
6,MoneyCardi B,"[Verse 1]
Look, my bitches all bad, my niggas all real
I ride on his dick in some big tall heels
Big fat checks, big large bills
Front, I'll flip like ten cartwheels
Cold ass bitch, I give broads chills
Ten different looks and my looks all kill
I kiss him in the mouth, I feel all grills
He eat in the car, that's meals on wheels (Woo)

[Chorus]
I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Bustin' out the roof (Cardi)

[Verse 2]
I gotta fly, I need a jet, shit
I need room for my legs
I got a baby, I need some money, yeah
I need cheese for my egg
All y'all bitches in trouble
Bring brass knuckles to the scuffle
I heard that Cardi went pop
Yeah, I did go pop (Pop)
That's me bustin' they bubble
I'm Dasani with the drip
Baby mommy with the clip
Walk out Follie's with a bitch
Bring a thottie to the whip
If she fine or she thick, goddamn
Walkin' past the mirror, ooh
Damn, I'm fine (Fine)
Let a bitch try me, boom (Boom)
Hammer time, uh

[Chorus]
I was born to flex (Yes)
Diamonds on my neck
I like boardin' jets, I like mornin' sex (Woo)
But nothing in this world that I like more than checks (Money)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the (Money flow)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Coupe)
Touch me, I'll shoot (Bow)
Shake a lil ass (Money)
Get a little bag and take it to the store (Store, money)
Get a little cash (Money)
Shake it real fast and get a little more (Money)
I got bands in the coupe (Coupe)
Bustin' out the roof
I got bands in the coupe (Brrr)
Touch me, I'll shoot (Bow)

[Verse 3]
Bitch, I will pop on your pops (Your pops)
Bitch, I will pop on whoever (Brrr)
You know who pop the most shit? (Who?)
The people whose shit not together (Okay)
You'da bet Cardi a freak (Freak)
All my pajamas is leather (Uh)
Bitch, I will black on your ass (Yeah)
Wakanda forever
Sweet like a honey bun, spit like a Tommy gun
Rollie a one of one, come get your mommy some
Cardi at the tip-top, bitch
Kiss the ring and kick rocks, sis (Mwah)
Jump it down, back it up (Ooh, ayy)
Make that nigga put down 2K
I like my niggas dark like D'USSÉ
He gonna eat this ass like soufflé

[Chorus]
I was born to flex, diamonds on my neck
I like boardin' jets, I like mornin' sex
But nothing in this world that I like more than Kulture
(Kulture, Kulture, Kulture)
All I really wanna see is the (Money)
I don't really need the D, I need the (Money)
All a bad bitch need is the
K.K.C (Woo)

[Outro]
(Money)
Money
(Money)
(Money)
(Money)
(Money)
(Money)
(Money)"
7,Better NowPost Malone,"[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

[Verse 1]
I did not believe that it would end, no
Everything came second to the Benzo
You're not even speakin' to my friends, no
You knew all my uncles and my aunts though
Twenty candles, blow 'em out and open your eyes
We were lookin' forward to the rest of our lives
Used to keep my picture posted by your bedside
Now it's in your dresser with the socks you don't like
And I'm rollin', rollin', rollin', rollin'
With my brothers like it's Jonas, Jonas
Drinkin' Henny and I'm tryna forget
But I can't get this shit outta my head

[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

[Verse 2]
I seen you with your other dude
He seemed like he was pretty cool
I was so broken over you
Life, it goes on, what can you do?
I just wonder what it's gonna take (What's it gonna take?)
Another foreign or a bigger chain (Bigger chain)
Because no matter how my life has changed
I keep on looking back on better days

[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh

[Bridge]
I promise
I swear to you, I'll be okay
You're only the love of my life (Love of my life)

[Chorus]
You prolly think that you are better now, better now
You only say that 'cause I'm not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
You know I say that I am better now, better now
I only say that 'cause you're not around, not around
You know I never meant to let you down, let you down
Woulda gave you anything, woulda gave you everything
Oh-oh"
8,Lucid DreamsJuice WRLD,"[Intro]
Enviyon on the mix
No, no, no, no
No-no, no, no, no
No, no, no, no, no
No, no, no, no

[Chorus]
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me

[Verse]
You left me falling and landing inside my grave
I know that you want me dead
I take prescriptions to make me feel a-okay
I know it's all in my head
I have these lucid dreams where I can't move a thing
Thinking of you in my bed
You were my everything
Thoughts of a wedding ring
Now I'm just better off dead (Uh, uh, uh)
I'll do it over again
I didn't want it to end
I watch it blow in the wind
I should've listened to my friends
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
You gave me a heart that was full of mistakes
I gave you my heart and you made heartbreak

[Bridge]
You made my heart break
You made my heart ache (I still see your shadows in my room)
You made my heart break
You made my heart ache (Can't take back the love that I gave you)
You made my heart break (Were made outta plastic, fake)
You made my heart ache (I still see your shadows in my room)
You made my heart break again (I was tangled up in your drastic ways)
(Who knew evil girls had the prettiest face?)

[Chorus]
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me
I still see your shadows in my room
Can't take back the love that I gave you
It's to the point where I love and I hate you
And I cannot change you, so I must replace you, oh
Easier said than done, I thought you were the one
Listenin' to my heart instead of my head
You found another one, but I am the better one
I won't let you forget me

[Outro]
Leave this shit in the past, but I want it to last
You were made outta plastic, fake
I was tangled up in your drastic ways
Who knew evil girls had the prettiest face?
Easier said than done, I thought you were—
—instead of my head
You found another— better one
I won't let you forget me"
9,Leave Me AloneFlipp Dinero,"[Intro]
Yeah, yeah
Yeah, I miss you but I got no time for that (Damn, yeah)
Yeah, ayy, yeah, ayy (Young Forever)

[Verse 1]
Yeah, I miss you but I got no time for that
How could you? Wish you had never played me
Have no time for that (Damn)
Claiming you're my lady, got no time for that
How could you move it like you're crazy?
I ain't call you back (Damn)

[Chorus]
Leave me alone
Drunk as fuck
Bitch you dumb as fuck
Running up the bucks (D-damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Yeah, yeah, yeah, yeah (Ayy)

[Verse 2]
Yeah, I miss you but I got no time for that
You was my lil' lady, drive me crazy
I was fine with that (Damn)
How you just gon' play me? I ain't fine with that
Thinking 'bout you daily
Smoking crazy while I'm off the tech (Damn)
Flexin', oh, we was flexing
Always had told you that you'd be a star
Goals in our checklist (Damn)
Question, oh, check your message
Knew that I couldn't fuck the bitch from the start
Or she was texting (Damn)
Demon, she cold (Yeah)
Leave and I'm gone (Yeah)
Fiendin', she on (Yeah)
Dreaming, we are (Yeah)
Drop is a coupe
Dropping the top of my car (Ayy)
I cannot love on no bitch when she fucking the clique
Man, she playing her part (Yeah, damn, ayy)
Life is a bitch, knew all that shit from the start (Ayy)
I told myself I walk up from that bitch and she leave all that shit in the dark (Like damn)

[Chorus]
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn)
Leave me alone
Yeah, yeah, yeah, yeah

[Verse 3]
You can't play me, I'm just wavy
Sipping purple 'til I'm lazy
Like a throwback
Ayisyen, how you ain't know that?
Hit my bop like I'm Lil Kodak
On the block where it ain't good at
I can't sweat you, I'm like, ""Who that?""
I can't sweat you, I don't do that (Nah, nah, ayy)
Tell you the truth
I ain't want you to depart (Ayy)
I wanted you but I can't fuck with you
'Cause you different, you can't play your part (No, damn, ayy)
Tell you the truth
I wanted you from the start (Ayy)
I cannot fuck on no bitch
I can't love when the bitch is not playing her part (Like damn)

[Chorus]
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Bitch, you done or what? (Yeah)
Leave me alone
Drunk as fuck
Bitch, you dumb as fuck
Running up the bucks (Damn, ayy)
Leave me alone
Yeah, yeah, yeah, yeah"
10,Going BadMeek Mill,"[Intro: Drake & Future]
Yeah
(Wheezy outta here)
Jeez, jeez

[Verse 1: Drake]
Back home, smokin' legal (Legal)
I got more slaps than The Beatles (Beatles)
Foreign shit runnin' on diesel, dawg
Playin' with my name, that shit is lethal, dawg (Who you say you was?)
Don Corleone
Trust me, at the top it isn't lonely (Strapped)
Everybody actin' like they know me, dawg
Don't just say you're down, you gotta show me (What you gotta do?)
Bring the clip back empty (It's empty)
You asked to see the boss, so they sent me, dawg (Sent me, dawg)
I just broke her off with a 10-piece, dawg (10-piece, dawg)
That ain't nothin', I'm just bein' friendly, dawg

[Chorus: Drake]
It's just a lil' 10-piece for her
Just to blow it in the mall, doesn't mean that we're involved
I just... what? I just... uh, put a Richard on the card
I ain't grow up playin' ball, but I'll show you how the fuck you gotta do it
If you really wanna ball 'til you fall
When your back against the wall
And a bunch of niggas need you to go away
Still goin' bad on 'em anyway
Saw you last night, but did it broad day

[Post-Chorus: Drake]
Yeah, lot of Murakami in the hallway (What?)
Got a sticky and I keep it at my dawg's place
Girl, I left your love at Magic, now it's all shade
Still goin' bad on you anyway

[Interlude: Meek Mill]
Woah, woah, ooh, woah
Woah, woah, ah

[Verse 2: Meek Mill]
I could fit like 80 racks in my Amiris (80 racks)
Me and Drizzy back-to-back, it's gettin' scary (Back-to-back)
If you fuckin' with my opps, just don't come near me (Get outta my way)
Put some bands all on your head like Jason Terry (Brrt, brrt, ooh)
Richard Mille cost a Lambo (That's a Lambo)
Known to keep the baddest bitches on commando (Salute)
Every time I'm in my trap, I move like Rambo (Extended)
Ain't a neighborhood in Philly that I can't go (That's a Fendi)
For real
She said, ""Oh, you rich rich?"" (""You rich rich"")
Bitch, I graduated, call me ""Big Fish"" (Marlin)
I got Lori Harvey on my wish list (That's Lori)
That's the only thing I want for Christmas (True story, uh)
I've been had my way out here, yeah, know that's facts (Facts)
You ain't livin' that shit you say, yeah, we know that's cap (That's cap)
You ain't got to ask me when you see me, know I'm strapped (Brrt)
DC, OVO, we back again, we goin' plat' (Ooh, ooh)

[Chorus: Drake]
It's just a lil' 10-piece for her
Just to blow it in the mall, doesn't mean that we're involved
I just... what? I just... uh, put a Richard on the card
I ain't grow up playin' ball, but I'll show you how the fuck you gotta do it
If you really wanna ball 'til you fall
When your back against the wall
And a bunch of niggas need you to go away
Still goin' bad on 'em anyway
Saw you last night, but did it broad day

[Outro: Future]
Wheezy outta here"
