,Title-Artist,Title-Artist,Lyrics
0,0,SpeechlessDan + Shay,"[Verse 1]
You say you'll be down in five
The smell of your perfume is floating down the stairs
You're fixing up your hair like you do
I know that I'll be a mess
The second that I see you
You won't be surprised
It happens every time
It's nothin' new
[Pre-Chorus]
It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes
[Chorus]
I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless
[Verse 2]
It started when you said hello
Just did something to me
And I've been in a daze
Ever since the day that we met
You take the breath out of my lungs
Can't even fight it
And all of the words, out of my mouth without even tryin'
[Chorus]
And I'm speechless
Starin' at you standin' there in that dress
What it's doin' to me ain't a secret
'Cause watching you is all that I can do
And I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless
[Bridge]
Yeah, baby, mmm
It's always on a night like tonight
I thank God you can read my mind
'Cause when you look at me with those eyes
[Chorus]
I'm speechless
You standin' there in that dress
Girl, it ain't a secret
'Cause watchin' you is all that I can do
Oh, I'm speechless
You already know that you're my weakness
After all this time I'm just as nervous
Every time you walk into the room
I'm speechless
[Outro]
Oh, you know it, baby
Mmm
"
1,1,TequilaDan + Shay,"[Verse 1]
I can still shut down a party
I can hang with anybody
I can drink whiskey and red wine
Champagne all night
Little Scotch on the rocks and I'm fine, I'm fine
[Chorus]
But when I taste tequila
Baby, I still see ya
Cuttin' up the floor in a sorority T-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearing on a Bible, baby, I'd never leave ya
I remember how bad I need ya
When I taste tequila (When I, when I, when I)
When I taste tequila (When I, when I, when I)
[Verse 2]
I can kiss somebody brand new
And not even think about you
I can show up to the same bar
Hear the same songs in my car
Baby, your memory, it only hits me this hard
[Chorus]
When I taste tequila
Baby, I still see ya
Cuttin' up the floor in a sorority T-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearing on a Bible, baby, I'd never leave ya
I remember how bad I need ya (Need ya)
When I taste tequila (When I, when I, when I)
When I taste tequila, oh (When I, when I, when I)
[Bridge]
I ain't even drunk, I ain't even drunk and I'm thinkin'
How I need your love, how I need your love, yeah, it sinks in
[Chorus]
When I taste tequila
Baby, I still see ya
Sorority T-shirt
The same one you wore when we were
Sky high in Colorado, your lips pressed against the bottle
Swearing on a Bible, baby, I'd never leave ya
I remember how bad I need ya (Need ya)
When I taste tequila (When I, when I, when I)
When I taste tequila, oh (When I, when I, when I)
When I taste tequila, oh (When I, when I, when I)
When I taste tequila (When I, when I, when I)
Ooh
"
2,2,Meant To BeBebe Rexha,"[Verse 1]
Baby, lay on back and relax
Kick your pretty feet up on my dash
No need to go nowhere fast
Let's enjoy right here where we at
[Pre-Chorus 1]
Who knows where this road is supposed to lead?
We got nothing, but time
As long as you're right here next to me, everything's gonna be alright
[Chorus]
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
[Verse 2]
I don't mean to be so uptight
But my heart's been hurt a couple times
By a couple guys that didn't treat me right
I ain't gon' lie, ain't gon' lie
'Cause I'm tired of the fake love
Show me what you're made of
Boy, make me believe
[Pre-Chorus 2]
Whoa, hold up girl, don't you know you're beautiful?
And it's easy to see
[Chorus]
If it's meant to be, it'll be, it'll be
Baby, just let it be
If it's meant to be, it'll be, it'll be
Baby, just let it be
So won't you ride with me, ride with me?
See where this thing goes
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
[Post-Chorus]
So c'mon, ride with me, ride with me
See where this thing goes
So c'mon, ride with me, ride with me
Baby, if it's meant to be
[Bridge]
Maybe we do
Maybe we don't
Maybe we will
Maybe we won't
[Chorus]
But if it's meant to be, it'll be, it'll be
Baby, just let it be (Sing it, baby)
If it's meant to be, it'll be, it'll be (C'mon)
Baby, just let it be (Let's go)
So won't you ride with me, ride with me?
See where this thing goes (Come for a ride)
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be (Yeah)
[Outro]
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
If it's meant to be, it'll be, it'll be
Baby, if it's meant to be
"
3,3,She Got The Best Of MeLuke Combs,"[Verse 1]
Seventeen, you don't think that much about life
You just live it
Like kerosene dancing around a fire
But you're in it
[Pre-Chorus]
So you jump right in
Ain't afraid to fall
And you give it all
[Chorus]
She got the best of me
She broke my heart
Now all that's left of me
Is beating in this guitar
Every night, a different town
She follows me around
So you get what's left of me
Yeah, you get what's left of me
'Cause she got the best of me
[Verse 2]
I picked myself up off the floor
And found something new worth living for
And a, old dusty hand-me-down six string
And a couple chords
[Pre-Chorus]
I'm getting over her
A little more with every song
So sing along
[Chorus]
She got the best of me
She broke my heart
Now all that's left of me
Is beating in this guitar
Every night, a different town
She follows me around
So you get what's left of me
Yeah, you get what's left of me
'Cause she got the best of me
[Chorus]
She got the best of me
She broke my heart
Now all that's left of me
Is beating in this guitar
Every night, a different town
She follows me around
So you get what's left of me
Yeah, you get what's left of me
'Cause she got the best of me
[Outro]
She got the best of me
She got the best of me
She got the best of me
"
4,4,Lose ItKane Brown,"[Intro]
Yeah
[Verse 1]
That lit up, ringing, buzzing good for nothing phone in your hands
With directions to the party that's just started with that cover band
That old school radio station, let's just drive until it's faded
Girl, let's lose it, tonight
[Pre-Chorus]
'Cause when you do that thing right there
Flippin' your hair, baby, I swear
[Chorus]
I don't think you know what you're doing to me
You got my heart skip-skipping a beat
You're not close enough so that space between
You and me, let's lose it
The way you're dancin', swayin' to the music
Girl, that body and how you move it
Every time you cross my mind
Girl, I lose it
Yeah, I lose it
Yeah, I lose it
[Verse 2]
Let's start with them Luccheses
Baby, kick 'em to the floorboard
Them bobby pins holdin' your hair up
Girl, you don't need 'em no more
That dress hangin' off your shoulder as you move a little closer
Yeah, let's lose it tonight
Yeah girl
[Chorus]
I don't think you know what you're doin' to me
You got my heart skip-skipping a beat
You're not close enough so that space between
You and me, let's lose it
The way you're dancin', swayin' to the music
Girl, that body and how you move it
Every time you cross my mind
Girl, I lose it
Yeah, I lose it
Yeah, I lose it
[Bridge]
'Cause when you do that thing right there
Flippin' your hair, baby I swear
Um
[Chorus]
I don't think you know what you're doing to me
You got my heart skip-skipping a beat
You're not close enough so that space between
You and me, let's lose it
The way you're dancin', swayin' to the music
Girl, that body and how you move it
Every time you cross my mind
Girl, I lose it
Yeah, I lose it
Yeah, I lose it
[Outro]
Girl, I lose it
Yeah, I lose it
"
5,5,Best ShotJimmie Allen,"[Verse 1]
I'm just flesh and bone, heart and soul
And I've earned a couple scars
I've let once in a lifetime kind of things slide right out of my arms
I've struck out, I've been knocked down
More times than I can count
But that don't matter now
[Chorus]
'Cause when you smile, I see the Sun sink down on a coast out in California
And there's no doubt because of you I'm not the man I was before you
I'm not sayin' that I'm perfect oh, 'cause girl you know I'm not
But I'll love you, with everything I've got
Girl, I'll give you my best shot
[Verse 2]
You saw a spark inside of me that no one else could find
Your good morning eyes, they get me high
Girl, you're always on my mind
[Chorus]
'Cause when you smile, I see the Sun sink down on a coast out in California
And there's no doubt because of you I'm not the man I was before you
I'm not sayin' that I'm perfect oh, 'cause girl you know I'm not
But I'll love you, with everything I've got
Girl, I'll give you my best shot
[Bridge]
When I saw you for the first time, I knew I'd found amazing grace
It's like angels singin' every time I hear your name
When you smile, I see the Sun sink down on a coast out in California
And there's no doubt because of you, I'm not the man I was before you
[Chorus]
When you smile, I see the Sun sink down on a coast out in California
And there's no doubt because of you I'm better than I was before you
I'm not sayin' that I'm perfect oh, God knows I'm not
But I'll love you with everything I've got
Girl, I'll give you my best shot
[Outro]
I'm gonna give you, I'll give you my best shot
I'm gonna give, I'm gonna give you, yeah
Whoa-oh, whoa-oh, yeah
Whoa, yeah
"
6,6,Drunk MeMitchell Tenpenny,"[Verse 1]
Some people don't know when to quit, and that's why they quit
Some need to hit the bottom to see they got a problem, they can't handle it
But that ain't why I started cleaning up my life
Wish it was, but, ooh, that would be a lie
[Chorus]
I've been sober 'cause there ain't no hangover like you, girl
No, no, no
Baby, can you come over?
I always find those words at the bottom of a hundred proof, yeah
Girl, every time you do
I just end up, head all messed up like the sheets where we made love
I've been sober since you broke my heart in two
'Cause drunk me can't get over you (There ain't no hangover like you)
Can't get over, can't get over (There ain't no hangover like you)
Oh, no, no, no
[Verse 2]
All those bottles sitting up on the shelf are just salt on the wound
One sip and I'm picking up the phone tryin' not to go home without you
And that ain't nothin' but a whole lotta pain
And that kind of hurt, ooh hurts, it ain't worth another drink
[Chorus]
I've been sober 'cause there ain't no hangover like you, girl
No, no, no
Baby, can you come over?
I always find those words at the bottom of a hundred proof, yeah
Girl, every time you do
I just end up, head all messed up like the sheets where we made love
I've been sober since you broke my heart in two
'Cause drunk me can't get over you, no
Can't get over you, oh, no, no, no
I've been sober 'cause there ain't no hangover like you, no, no, no
Can you come over?
I always find those words at the bottom of a hundred proof, yeah
Girl, every time you do
I just end up, head all messed up like the sheets where we made love
I've been sober since you broke my heart in two
'Cause drunk me, yeah drunk me, yeah drunk me
Can't get over you, no (there ain't no hangover like you)
Can't get over, can't get over
(There ain't no hangover like you), oh, no, no, no
"
7,7,SixteenThomas Rhett,"[Verse 1]
""Take a left here, boy, take it slow
Don't get distracted by that radio""
I just rolled my eyes and I said, ""Daddy, I know
I'm fifteen, I ain't green like some ol' ten year old""
[Chorus]
What I wouldn't give to be sixteen, wild and free
Cruisin' up and down Main in my F-150
Roll the windows down, bass too loud from this burnt CD
I'll be right where I wanna be when I'm sixteen, sixteen, yeah
Sixteen
[Verse 2]
Now that I can drive, finally feel alive, but I got this curfew
Sneakin' in late, smelling like my girlfriend's perfume
People talkin' 'bout college and knowledge and that's alright
But all I'm thinkin' 'bout is an unsupervised Saturday night
[Chorus]
What I wouldn't give to be eighteen, wild and free
Buzzin' off a can of that Grizzly wintergreen
Lookin' old enough to pull off this fake ID
I'll be right where I wanna be when I'm eighteen, eighteen
Eighteen, yeah
[Bridge]
I'm old enough to smoke, I'm old enough to vote
But they turn me away when I go to the Cotton-Eyed Joe
They say the grass is always greener, and I believe that's right
But my friends are off to Vegas, and they're leavin' me behind
[Chorus]
What I wouldn't give to be twenty one, wild and free
Open up a cold one and drink it legally
Chase a bunch of girls, go see the world, let my wild streak run
I'll be right where I wanna be when I'm twenty one, twenty one
Woah, when I'm twenty one
Yeah, when I'm twenty one, it'll be alright
Yeah, it'll all be alright when I'm twenty one
[Outro]
Now I'm twenty five, and I'm drinkin' wine with my wife at home
Got a couple dogs and a couple songs on the radio
And we sit around, and we laugh about how we used to be
When all we cared about was turning sixteen
"
8,8,Burning ManDierks Bentley,"[Verse 1]
Half your life you struggle
Half your life you fly
Half your life makin' trouble
Half your life makin' it right
One day I'm the exception
Most days I'm just like most
Some days I'm headed in the right direction
And some days I ain't even close
[Chorus]
I'm a little bit steady but still a little bit rollin' stone
I'm a little bit heaven but still a little bit flesh-and-bone
Little found, little don't-know-where-I-am
I'm a little bit holy water but still a little bit burning man
Burning man
[Verse 2]
I always loved the highway
I just don't run it as fast
I still go wherever the wind blows me
But I always find my way back
I still don't get it right sometimes
I just don't get it as wrong
I still go a little bit crazy sometimes
Yeah, but now I don't stay near as long
[Chorus]
I'm a little bit steady but still a little bit rollin' stone
I'm a little bit heaven but still a little bit flesh-and-bone
Little found, little don't-know-where-I-am
I'm a little bit holy water but still a little bit burning man
Burning man
Still just a burn, burn, burning man
Just a burning man
Woo!
[Bridge]
Maybe I'll go to the desert
Find myself in the Joshua Tree
If we pass in the night then just hand me a light
And tell me you burned just like me
[Chorus]
I'm a little bit steady but still a little bit rollin' stone
I'm a little bit heaven but still a little bit flesh-and-bone
Little found, little don't-know-where-I-am
I'm a little bit holy water but still a little bit burning man
Burning man
Still just a burn, burn, burning man
Just a burning man
[Outro]
Burning man
"
9,9,Beautiful CrazyLuke Combs,"[Verse 1]
Her day starts with a coffee and ends with a wine
Takes forever getting ready so she's never on time for anything
When she gets that ""come get me"" look in her eyes
Well, it kinda scares me, the way that she drives me wild
When she drives me wild
[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
[Verse 2]
She makes plans for the weekend, can't wait to go out
Till she changes her mind
Says, ""Let's stay on the couch and watch TV""
And she falls asleep
[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy but her crazy's beautiful to me
[Bridge]
She's unpredictable, unforgettable
It's unusual, unbelievable
How I'm such a fool, yeah, I'm such a fool for her
[Chorus]
Beautiful, crazy, she can't help but amaze me
The way that she dances, ain't afraid to take chances
And wears her heart on her sleeve
Yeah, she's crazy, she's crazy, she's crazy
But her crazy's beautiful to me
Her crazy's beautiful to me
"
