,Title,Artist
0,High Hopes,Panic! At The Disco
1,Without Me,Halsey
2,Breathin,Ariana Grande
3,"Thank U, Next",Ariana Grande
4,Happier,Marshmello
5,Eastside,"benny blanco, Halsey"
6,Youngblood,5 Seconds Of Summer
7,Beautiful,Bazzi
8,Love Lies,Khalid
9,Better Now,Post Malone
10,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
11,Girls Like You,Maroon 5
12,Close To Me,Ellie Goulding
13,Consequences,Camila Cabello
14,Sicko Mode,Travis Scott
15,This Feeling,The Chainsmokers
16,Electricity,Silk City x Dua Lipa
17,Taki Taki,DJ Snake
18,Better,Khalid
19,Nothing Breaks Like A Heart,Mark Ronson
20,Ruin My Life,Zara Larsson
21,Tequila,Dan + Shay
22,Be Alright,Dean Lewis
23,MIA,Bad Bunny
24,Shallow,Lady Gaga
25,Trust My Lonely,Alessia Cara
26,Body,Loud Luxury
27,8 Letters,Why Don't We
28,Sweet But Psycho,Ava Max
29,Wake Up In The Sky,Gucci Mane
30,Lost In Japan,Shawn Mendes
31,There's No Way,Lauv
32,Love Someone,Lukas Graham
33,My Blood,twenty one pilots
34,Let You Love Me,Rita Ora
35,Don't Matter To Me,Drake
36,I Found You,benny blanco
37,Hurts Like Hell,Madison Beer
38,1999,Charli XCX
39,Trip,Ella Mai
40,Without Me,Halsey
41,"Thank U, Next",Ariana Grande
42,High Hopes,Panic! At The Disco
43,Eastside,"benny blanco, Halsey"
44,Happier,Marshmello
45,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
46,Breathin,Ariana Grande
47,Beautiful,Bazzi
48,Close To Me,Ellie Goulding
49,Love Lies,Khalid
50,This Feeling,The Chainsmokers
51,Youngblood,5 Seconds Of Summer
52,Sicko Mode,Travis Scott
53,Better Now,Post Malone
54,Girls Like You,Maroon 5
55,Better,Khalid
56,Taki Taki,DJ Snake
57,Nothing Breaks Like A Heart,Mark Ronson
58,Lost In The Fire,Gesaffelstein
59,Ruin My Life,Zara Larsson
60,7 Rings,Ariana Grande
61,Electricity,Silk City x Dua Lipa
62,Sweet But Psycho,Ava Max
63,Tequila,Dan + Shay
64,Wow.,Post Malone
65,Consequences,Camila Cabello
66,Body,Loud Luxury
67,MIA,Bad Bunny
68,Be Alright,Dean Lewis
69,Dancing With A Stranger,Sam Smith
70,8 Letters,Why Don't We
71,Wake Up In The Sky,Gucci Mane
72,Love Someone,Lukas Graham
73,Let You Love Me,Rita Ora
74,My Blood,twenty one pilots
75,There's No Way,Lauv
76,Hurts Like Hell,Madison Beer
77,You Say,Lauren Daigle
78,I Found You,benny blanco
79,ZEZE,Kodak Black
80,Eastside,"benny blanco, Halsey"
81,Without Me,Halsey
82,"Thank U, Next",Ariana Grande
83,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
84,7 Rings,Ariana Grande
85,High Hopes,Panic! At The Disco
86,Happier,Marshmello
87,Close To Me,Ellie Goulding
88,Better,Khalid
89,Sicko Mode,Travis Scott
90,Sweet But Psycho,Ava Max
91,This Feeling,The Chainsmokers
92,Wow.,Post Malone
93,Dancing With A Stranger,Sam Smith
94,Youngblood,5 Seconds Of Summer
95,Nothing Breaks Like A Heart,Mark Ronson
96,Be Alright,Dean Lewis
97,Lost In The Fire,Gesaffelstein
98,Tequila,Dan + Shay
99,Please Me,Cardi B
100,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande
101,Undrunk,FLETCHER
102,Swan Song,Dua Lipa
103,MIA,Bad Bunny
104,8 Letters,Why Don't We
105,Who Do You Love,The Chainsmokers
106,You Say,Lauren Daigle
107,Bad Liar,Imagine Dragons
108,Ruin My Life,Zara Larsson
109,I've Been Waiting,Lil Peep
