,Title,Artist
0,High Hopes,Panic! At The Disco
1,Natural,Imagine Dragons
2,Broken,lovelytheband
3,Bohemian Rhapsody,Queen
4,Another One Bites The Dust,Queen
5,My Blood,twenty one pilots
6,Somebody To Love,Queen
7,Under Pressure,Queen
8,We Will Rock You,Queen
9,Don't Stop Me Now,Queen
10,You're Somebody Else,flora cash
11,Guiding Light,Mumford
12,We Are The Champions,Queen
13,Killer Queen,Queen
14,Bad Liar,Imagine Dragons
15,Shotgun,George Ezra
16,Zero,Imagine Dragons
17,I Want To Break Free,Queen
18,Get Up,Shinedown
19,Love It If We Made It,The 1975
20,S.O.S. (Sawed Off Shotgun),The Glorious Sons
21,Fat Bottomed Girls,Queen
22,Radio Ga Ga,Queen
23,Crazy Little Thing Called Love,Queen
24,When Legends Rise,Godsmack
25,The Greatest Show,Panic! At The Disco
26,Pressure,Muse
27,Dance Macabre,Ghost
28,Superposition,Young The Giant
29,Body Talks,The Struts
30,Are You Ready,Disturbed
31,Chlorine,twenty one pilots
32,These Are My Friends,lovelytheband
33,Worst Nites,Foster The People
34,Mantra,Bring Me The Horizon
35,"""99""",Barns Courtney
36,All Out Life,Slipknot
37,Movement,Hozier
38,When The Seasons Change,Five Finger Death Punch
39,Home,morgxn
40,Radio Ga Ga (Live Aid),Queen
41,Can't Knock The Hustle,Weezer
42,Machine,Imagine Dragons
43,You're The One,Greta Van Fleet
44,It's Not Living (If It's Not With You),The 1975
45,Fast Talk,Houses
46,Disease,Beartooth
47,Roaring 20s,Panic! At The Disco
48,Sunday Driver,The Raconteurs
49,Northern Lights,Death Cab For Cutie
50,High Hopes,Panic! At The Disco
51,Natural,Imagine Dragons
52,Broken,lovelytheband
53,My Blood,twenty one pilots
54,You're Somebody Else,flora cash
55,Bad Liar,Imagine Dragons
56,Guiding Light,Mumford
57,Shotgun,George Ezra
58,Almost (Sweet Music),Hozier
59,Come Along,Cosmo Sheldrake
60,Superposition,Young The Giant
61,You're The One,Greta Van Fleet
62,S.O.S. (Sawed Off Shotgun),The Glorious Sons
63,Chlorine,twenty one pilots
64,Love It If We Made It,The 1975
65,Get Up,Shinedown
66,Pressure,Muse
67,Worst Nites,Foster The People
68,Movement,Hozier
69,When Legends Rise,Godsmack
