,Title,Artist
0,Sicko Mode,Travis Scott
1,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
2,Drip Too Hard,Lil Baby
3,ZEZE,Kodak Black
4,Mo Bamba,Sheck Wes
5,Wake Up In The Sky,Gucci Mane
6,Money,Cardi B
7,Better Now,Post Malone
8,Lucid Dreams,Juice WRLD
9,Leave Me Alone,Flipp Dinero
10,Going Bad,Meek Mill
11,A Lot,21 Savage
12,Trip,Ella Mai
13,Wow.,Post Malone
14,Better,Khalid
15,Uproar,Lil Wayne
16,Swervin,A Boogie Wit da Hoodie
17,Can't Leave Without It,21 Savage
18,Ring,Cardi B
19,Dangerous,Meek Mill
20,Startender,A Boogie Wit da Hoodie
21,Look Back At It,A Boogie Wit da Hoodie
22,All My Friends,21 Savage
23,BAD!,XXXTENTACION
24,Backin' It Up,Pardison Fontaine
25,Break Da Law,21 Savage
26,Talk To Me,Tory Lanez
27,Monster,21 Savage
28,Calling My Spirit,Kodak Black
29,Armed And Dangerous,Juice WRLD
30,Arms Around You,XXXTENTACION x Lil Pump
31,You,Jacquees
32,1.5,21 Savage
33,Out For The Night,21 Savage
34,No Stylist,French Montana
35,Gun Smoke,21 Savage
36,Demons And Angels,A Boogie Wit da Hoodie
37,ASMR,21 Savage
38,Fine China,Future
39,Envy Me,Calboy
40,Ball W/O You,21 Savage
41,Close Friends,Lil Baby
42,Pure Cocaine,Lil Baby
43,Smile (Living My Best Life),Lil' Duval
44,A&T,21 Savage
45,KIKA,6ix9ine
46,Yosemite,Travis Scott
47,Come Closer,A Boogie Wit da Hoodie
48,Nuketown,Ski Mask The Slump God
49,Slime Belief,YoungBoy Never Broke Again
50,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
51,Sicko Mode,Travis Scott
52,Wow.,Post Malone
53,Drip Too Hard,Lil Baby
54,ZEZE,Kodak Black
55,Money,Cardi B
56,Going Bad,Meek Mill
57,Wake Up In The Sky,Gucci Mane
58,Mo Bamba,Sheck Wes
59,Better Now,Post Malone
60,Leave Me Alone,Flipp Dinero
61,Better,Khalid
62,Middle Child,J. Cole
63,Twerk,City Girls
64,Trip,Ella Mai
65,Lost In The Fire,Gesaffelstein
66,A Lot,21 Savage
67,Keanu Reeves,Logic
68,Backin' It Up,Pardison Fontaine
69,Crushed Up,Future
70,Look Back At It,A Boogie Wit da Hoodie
71,Envy Me,Calboy
72,Swervin,A Boogie Wit da Hoodie
73,First Off,Future
74,Undecided,Chris Brown
75,Jumpin On A Jet,Future
76,Uproar,Lil Wayne
77,Calling My Spirit,Kodak Black
78,Armed And Dangerous,Juice WRLD
79,Arms Around You,XXXTENTACION x Lil Pump
80,Never Stop,Future
81,Thotiana,Blueface
82,You,Jacquees
83,No Stylist,French Montana
84,Mixed Personalities,YNW Melly
85,Yosemite,Travis Scott
86,Saturday Nights,Khalid
87,Temptation,Future
88,Rocket Ship,Future
89,Startender,A Boogie Wit da Hoodie
90,Pure Water,Mustard
91,F&N,Future
92,Nights Like This,Kehlani
93,Pure Cocaine,Lil Baby
94,Talk To Me,Tory Lanez
95,Murder On My Mind,YNW Melly
96,Call The Coroner,Future
97,Splashin,Rich The Kid
98,Promise U That,Future
99,Shot Clock,Ella Mai
100,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
101,Please Me,Cardi B
102,Sicko Mode,Travis Scott
103,Wow.,Post Malone
104,Middle Child,J. Cole
105,Thotiana,Blueface
106,Murder On My Mind,YNW Melly
107,Going Bad,Meek Mill
108,Money,Cardi B
109,A Lot,21 Savage
110,Drip Too Hard,Lil Baby
111,Better,Khalid
112,ZEZE,Kodak Black
113,Robbery,Juice WRLD
114,Leave Me Alone,Flipp Dinero
115,Wake Up In The Sky,Gucci Mane
116,Look Back At It,A Boogie Wit da Hoodie
117,Mo Bamba,Sheck Wes
118,Envy Me,Calboy
119,Swervin,A Boogie Wit da Hoodie
120,Backin' It Up,Pardison Fontaine
121,Red Room,Offset
122,Talk,Khalid
123,Twerk,City Girls
124,Pure Water,Mustard
125,Mixed Personalities,YNW Melly
126,Lost In The Fire,Gesaffelstein
127,Undecided,Chris Brown
128,Calling My Spirit,Kodak Black
129,Armed And Dangerous,Juice WRLD
130,Nights Like This,Kehlani
131,Close Friends,Lil Baby
132,Put A Date On It,Yo Gotti
133,Pure Cocaine,Lil Baby
134,Worth It,YK Osiris
135,Yosemite,Travis Scott
136,Shot Clock,Ella Mai
137,Arms Around You,XXXTENTACION x Lil Pump
138,Startender,A Boogie Wit da Hoodie
139,Splashin,Rich The Kid
140,Saturday Nights,Khalid
141,You,Jacquees
142,Valuable Pain,YoungBoy Never Broke Again
143,Sauce!,XXXTENTACION
144,Talk To Me,Tory Lanez
145,Project Dreams,Marshmello
146,Faucet Failure,Ski Mask The Slump God
147,Every Season,Roddy Ricch
148,Karma,Queen Naija
149,Act Up,City Girls
150,Wow.,Post Malone
151,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
152,Please Me,Cardi B
153,Middle Child,J. Cole
154,Thotiana,Blueface
155,Going Bad,Meek Mill
156,Old Town Road,Lil Nas
157,Better,Khalid
158,Sicko Mode,Travis Scott
159,Murder On My Mind,YNW Melly
160,A Lot,21 Savage
161,Money,Cardi B
162,Pure Water,Mustard
163,Look Back At It,A Boogie Wit da Hoodie
164,Envy Me,Calboy
165,Robbery,Juice WRLD
166,ZEZE,Kodak Black
167,Talk,Khalid
168,Mixed Personalities,YNW Melly
169,Act Up,City Girls
170,Swervin,A Boogie Wit da Hoodie
171,Put A Date On It,Yo Gotti
172,Twerk,City Girls
173,Worth It,YK Osiris
174,Close Friends,Lil Baby
175,Girls Need Love,Summer Walker
176,Shot Clock,Ella Mai
177,Pure Cocaine,Lil Baby
178,Price On My Head,NAV
179,Saturday Nights,Khalid
180,Confessions Of A Dangerous Mind,Logic
181,Splashin,Rich The Kid
182,I,Lil Skies
183,Hear Me Calling,Juice WRLD
184,Faucet Failure,Ski Mask The Slump God
185,Tap,NAV
186,Undecided,Chris Brown
187,Calling My Spirit,Kodak Black
188,Pop Out,Polo G
189,Empty,Juice WRLD
190,Slow Dancing In The Dark,Joji
191,My Bad,Khalid
192,Numb Numb Juice,ScHoolboy Q
193,Big Ole Freak,Megan Thee Stallion
194,Suge,DaBaby
195,Nights Like This,Kehlani
196,Fast,Juice WRLD
197,Shotta Flow,NLE Choppa
198,Armed And Dangerous,Juice WRLD
199,Red Room,Offset
200,Old Town Road,Lil Nas
201,Wow.,Post Malone
202,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone
203,Talk,Khalid
204,Middle Child,J. Cole
205,Please Me,Cardi B
206,Going Bad,Meek Mill
207,Better,Khalid
208,Thotiana,Blueface
209,Pure Water,Mustard
210,A Lot,21 Savage
211,Look Back At It,A Boogie Wit da Hoodie
212,Act Up,City Girls
213,Envy Me,Calboy
214,Sanguine Paradise,Lil Uzi Vert
215,Murder On My Mind,YNW Melly
216,Clout,Offset
217,Suge,DaBaby
218,Racks In The Middle,Nipsey Hussle
219,Swervin,A Boogie Wit da Hoodie
220,Close Friends,Lil Baby
221,Worth It,YK Osiris
222,Pop Out,Polo G
223,Mixed Personalities,YNW Melly
224,Robbery,Juice WRLD
225,Girls Need Love,Summer Walker
226,Before I Let Go,Beyonce
227,Big Ole Freak,Megan Thee Stallion
228,Put A Date On It,Yo Gotti
229,Shot Clock,Ella Mai
230,That's A Rack,Lil Uzi Vert
231,Faucet Failure,Ski Mask The Slump God
232,Slide,French Montana
233,Saturday Nights,Khalid
234,Shotta Flow,NLE Choppa
235,Power Is Power,"SZA, The Weeknd"
236,Wrong,Luh Kel
237,Die Young,Roddy Ricch
