Title,Artist
Sicko Mode,Travis Scott
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Drip Too Hard,Lil Ba
ZEZE,Kodak Black Featuring Travis Scott & Offset
Mo Bamba,Sheck Wes
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Money,Cardi B
Better Now,Post Malone
Lucid Dreams,Juice WRLD
Leave Me Alone,Flipp Dinero
Going Bad,Meek Mill Featuring Drake
A Lot,21 Savage
Trip,Ella Mai
Wow.,Post Malone
Better,Khalid
Uproar,Lil Wayne
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Can't Leave Without It,21 Savage
Ring,Cardi B Featuring Kehlani
Dangerous,Meek Mill Featuring Jeremih & PnB Rock
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
Look Back At It,A Boogie Wit da Hoodie
All My Friends,21 Savage
BAD!,XXXTENTACION
Backin' It Up,Pardison Fontaine Featuring Cardi B
Break Da Law,21 Savage
Talk To Me,Tory Lanez & Rich The Kid
Monster,21 Savage
Calling My Spirit,Kodak Black
Armed And Dangerous,Juice WRLD
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
You,Jacquees
1.5,21 Savage
Out For The Night,21 Savage
No Stylist,French Montana Featuring Drake
Gun Smoke,21 Savage
Demons And Angels,A Boogie Wit da Hoodie Featuring Juice WRLD
ASMR,21 Savage
Fine China,Future & Juice WRLD
Envy Me,Calboy
Ball W/O You,21 Savage
Close Friends,Lil Ba
Pure Cocaine,Lil Ba
Smile (Living My Best Life),Lil' Duval Featuring Snoop Dogg & Ball Greezy
A&T,21 Savage
KIKA,6ix9ine Featuring Tory Lanez
Yosemite,Travis Scott
Come Closer,A Boogie Wit da Hoodie Featuring Queen Naija
Nuketown,Ski Mask The Slump God Featuring Juice WRLD
Slime Belief,YoungBoy Never Broke Again
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Sicko Mode,Travis Scott
Wow.,Post Malone
Drip Too Hard,Lil Ba
ZEZE,Kodak Black Featuring Travis Scott & Offset
Money,Cardi B
Going Bad,Meek Mill Featuring Drake
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Mo Bamba,Sheck Wes
Better Now,Post Malone
Leave Me Alone,Flipp Dinero
Better,Khalid
Middle Child,J. Cole
Twerk,City Girls Featuring Cardi B
Trip,Ella Mai
Lost In The Fire,Gesaffelstein & The Weeknd
A Lot,21 Savage
Keanu Reeves,Logic
Backin' It Up,Pardison Fontaine Featuring Cardi B
Crushed Up,Future
Look Back At It,A Boogie Wit da Hoodie
Envy Me,Calboy
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
First Off,Future Featuring Travis Scott
Undecided,Chris Brown
Jumpin On A Jet,Future
Uproar,Lil Wayne
Calling My Spirit,Kodak Black
Armed And Dangerous,Juice WRLD
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
Never Stop,Future
Thotiana,Blueface
You,Jacquees
No Stylist,French Montana Featuring Drake
Mixed Personalities,YNW Melly Featuring Kanye West
Yosemite,Travis Scott
Saturday Nights,Khalid & Kane Brown
Temptation,Future
Rocket Ship,Future
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
Pure Water,Mustard & Migos
F&N,Future
Nights Like This,Kehlani Featuring Ty Dolla $ign
Pure Cocaine,Lil Ba
Talk To Me,Tory Lanez & Rich The Kid
Murder On My Mind,YNW Melly
Call The Coroner,Future
Splashin,Rich The Kid
Promise U That,Future
Shot Clock,Ella Mai
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Please Me,Cardi B & Bruno Mars
Sicko Mode,Travis Scott
Wow.,Post Malone
Middle Child,J. Cole
Thotiana,Blueface
Murder On My Mind,YNW Melly
Going Bad,Meek Mill Featuring Drake
Money,Cardi B
A Lot,21 Savage
Drip Too Hard,Lil Ba
Better,Khalid
ZEZE,Kodak Black Featuring Travis Scott & Offset
Robbery,Juice WRLD
Leave Me Alone,Flipp Dinero
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Look Back At It,A Boogie Wit da Hoodie
Mo Bamba,Sheck Wes
Envy Me,Calboy
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine
Backin' It Up,Pardison Fontaine Featuring Cardi B
Red Room,Offset
Talk,Khalid
Twerk,City Girls Featuring Cardi B
Pure Water,Mustard & Migos
Mixed Personalities,YNW Melly Featuring Kanye West
Lost In The Fire,Gesaffelstein & The Weeknd
Undecided,Chris Brown
Calling My Spirit,Kodak Black
Armed And Dangerous,Juice WRLD
Nights Like This,Kehlani Featuring Ty Dolla $ign
Close Friends,Lil Ba
Put A Date On It,Yo Gotti Featuring Lil Ba
Pure Cocaine,Lil Ba
Worth It,YK Osiris
Yosemite,Travis Scott
Shot Clock,Ella Mai
Arms Around You,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee
Startender,A Boogie Wit da Hoodie Featuring Offset & Tyga
Splashin,Rich The Kid
Saturday Nights,Khalid & Kane Brown
You,Jacquees
Valuable Pain,YoungBoy Never Broke Again
Sauce!,XXXTENTACION
Talk To Me,Tory Lanez & Rich The Kid
Project Dreams,Marshmello & Roddy Ricch
Faucet Failure,Ski Mask The Slump God
Every Season,Roddy Ricch
Karma,Queen Naija
