Title,Artist
High Hopes,Panic! At The Disco
Without Me,Halsey
Breathin,Ariana Grande
"Thank U, Next",Ariana Grande
Happier,Marshmello & Bastille
Eastside,"benny blanco, Halsey & Khalid"
Youngblood,5 Seconds Of Summer
Beautiful,Bazzi Featuring Camila Cabello
Love Lies,Khalid & Normani
Better Now,Post Malone
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Girls Like You,Maroon 5 Featuring Cardi B
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Consequences,Camila Cabello
Sicko Mode,Travis Scott
This Feeling,The Chainsmokers Featuring Kelsea Ballerini
Electricity,Silk City x Dua Lipa
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
Better,Khalid
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
Ruin My Life,Zara Larsson
Tequila,Dan + Shay
Be Alright,Dean Lewis
MIA,Bad Bunny Featuring Drake
Shallow,Lady Gaga & Bradley Cooper
Trust My Lonely,Alessia Cara
Body,Loud Luxury Featuring Brando
8 Letters,Why Don't We
Sweet But Psycho,Ava Max
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Lost In Japan,Shawn Mendes X Zedd
There's No Way,Lauv Featuring Julia Michaels
Love Someone,Lukas Graham
My Blood,twenty one pilots
Let You Love Me,Rita Ora
Don't Matter To Me,Drake Featuring Michael Jackson
I Found You,benny blanco & Calvin Harris
Hurts Like Hell,Madison Beer Featuring Offset
1999,Charli XCX & Troye Sivan
Trip,Ella Mai
Without Me,Halsey
"Thank U, Next",Ariana Grande
High Hopes,Panic! At The Disco
Eastside,"benny blanco, Halsey & Khalid"
Happier,Marshmello & Bastille
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
Breathin,Ariana Grande
Beautiful,Bazzi Featuring Camila Cabello
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Love Lies,Khalid & Normani
This Feeling,The Chainsmokers Featuring Kelsea Ballerini
Youngblood,5 Seconds Of Summer
Sicko Mode,Travis Scott
Better Now,Post Malone
Girls Like You,Maroon 5 Featuring Cardi B
Better,Khalid
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B"
Nothing Breaks Like A Heart,Mark Ronson Featuring Miley Cyrus
Lost In The Fire,Gesaffelstein & The Weeknd
Ruin My Life,Zara Larsson
7 Rings,Ariana Grande
Electricity,Silk City x Dua Lipa
Sweet But Psycho,Ava Max
Tequila,Dan + Shay
Wow.,Post Malone
Consequences,Camila Cabello
Body,Loud Luxury Featuring Brando
MIA,Bad Bunny Featuring Drake
Be Alright,Dean Lewis
Dancing With A Stranger,Sam Smith & Normani
8 Letters,Why Don't We
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black
Love Someone,Lukas Graham
Let You Love Me,Rita Ora
My Blood,twenty one pilots
There's No Way,Lauv Featuring Julia Michaels
Hurts Like Hell,Madison Beer Featuring Offset
You Say,Lauren Daigle
I Found You,benny blanco & Calvin Harris
ZEZE,Kodak Black Featuring Travis Scott & Offset
Eastside,"benny blanco, Halsey & Khalid"
Without Me,Halsey
"Thank U, Next",Ariana Grande
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee
7 Rings,Ariana Grande
High Hopes,Panic! At The Disco
Happier,Marshmello & Bastille
Close To Me,Ellie Goulding X Diplo Featuring Swae Lee
Better,Khalid
